Driver,LapTime
NOR,148.3
NOR,100.995
NOR,87.517
NOR,129.252
NOR,81.438
NOR,116.975
NOR,115.536
NOR,95.658
NOR,81.163
NOR,112.408
NOR,105.721
NOR,81.458
NOR,110.214
NOR,81.039
NOR,80.443
NOR,87.635
VER,80.979
VER,136.003
VER,103.25
VER,80.508
VER,103.15
VER,82.062
VER,84.351
VER,81.973
VER,82.186
VER,118.928
VER,80.197
BOR,124.999
BOR,98.239
BOR,82.287
BOR,130.034
BOR,135.482
BOR,120.019
BOR,90.446
BOR,95.592
BOR,80.575
BOR,127.469
BOR,102.19
BOR,128.955
BOR,80.459
BOR,111.594
HAD,120.651
HAD,81.311
HAD,111.551
HAD,114.581
HAD,80.691
HAD,114.491
HAD,81.263
HAD,82.449
HAD,82.025
HAD,82.175
HAD,117.347
HAD,80.137
GAS,103.838
GAS,83.473
GAS,106.504
GAS,82.663
GAS,141.191
GAS,115.499
GAS,117.575
GAS,134.603
GAS,86.532
GAS,100.613
GAS,83.046
GAS,86.225
GAS,84.539
GAS,87.327
GAS,84.437
GAS,83.782
GAS,83.528
GAS,103.895
GAS,129.561
GAS,81.071
GAS,113.044
GAS,147.958
PER,107.154
PER,85.722
PER,130.03
PER,84.397
PER,87.702
PER,86.575
PER,86.259
PER,86.335
PER,86.565
PER,86.378
PER,86.129
PER,85.54
PER,86.181
PER,86.24
PER,135.041
PER,102.572
ANT,133.092
ANT,107.429
ANT,115.667
ANT,126.752
ANT,80.324
ANT,120.967
ANT,117.27
ANT,81.911
ANT,82.126
ANT,81.732
ANT,81.268
ANT,81.13
ANT,81.17
ANT,80.884
ANT,98.493
ALO,103.389
ALO,86.04
ALO,101.774
ALO,84.101
ALO,122.162
ALO,83.717
ALO,103.393
ALO,82.972
ALO,107.836
ALO,83.054
ALO,101.289
ALO,82.837
ALO,117.097
ALO,82.72
LEC,114.579
LEC,114.611
LEC,112.015
LEC,80.979
LEC,113.168
LEC,80.271
LEC,146.044
LEC,134.903
LEC,99.546
LEC,79.827
LEC,107.101
LEC,79.869
LEC,79.935
LEC,106.341
ALB,125.203
ALB,83.46
ALB,110.644
ALB,82.589
ALB,107.841
ALB,81.942
ALB,81.949
ALB,110.045
ALB,101.257
ALB,82.309
ALB,102.551
ALB,81.664
HUL,115.013
HUL,100.144
HUL,82.129
HUL,120.064
HUL,94.645
HUL,115.975
HUL,117.94
HUL,96.537
HUL,81.067
HUL,123.3
HUL,112.306
HUL,81.716
HUL,95.606
HUL,89.567
HUL,82.51
HUL,126.538
HUL,81.644
LAW,135.09
LAW,82.199
LAW,112.355
LAW,81.466
LAW,109.68
LAW,81.217
LAW,131.895
LAW,80.89
LAW,112.734
LAW,127.94
OCO,105.958
OCO,91.194
OCO,115.379
OCO,123.59
OCO,123.412
OCO,84.182
OCO,101.732
OCO,82.485
OCO,107.349
OCO,82.421
OCO,103.824
OCO,123.466
OCO,94.204
OCO,80.983
LIN,132.155
LIN,82.793
LIN,103.962
LIN,81.458
LIN,112.962
LIN,113.037
LIN,81.109
LIN,107.195
LIN,102.468
LIN,135.403
LIN,80.838
LIN,123.245
COL,84.222
COL,117.822
COL,83.071
COL,149.344
COL,88.034
COL,132.323
COL,114.272
COL,129.413
COL,111.855
COL,83.438
COL,121.906
COL,82.908
COL,129.012
COL,83.336
COL,132.233
COL,81.413
HAM,114.228
HAM,81.599
HAM,145.916
HAM,80.572
HAM,135.807
HAM,110.286
HAM,121.93
HAM,131.462
HAM,102.337
HAM,97.78
HAM,80.176
HAM,89.145
HAM,80.728
HAM,113.402
HAM,80.243
HAM,131.811
HAM,79.669
RUS,131.62
RUS,136.908
RUS,103.571
RUS,81.429
RUS,112.741
RUS,113.863
RUS,82.245
RUS,82.221
RUS,83.286
RUS,83.341
RUS,81.73
RUS,81.677
RUS,81.572
RUS,98.007
RUS,79.053
RUS,106.234
BOT,134.017
BOT,85.146
BOT,120.31
BOT,84.583
BOT,129.748
BOT,125.549
BOT,84.275
BOT,135.321
BOT,83.514
PIA,81.179
PIA,119.164
PIA,114.252
PIA,80.317
PIA,111.565
PIA,111.945
PIA,80.164
PIA,95.378
PIA,81.428
PIA,81.693
PIA,95.029
PIA,138.33
PIA,80.087
BEA,107.437
BEA,99.241
BEA,128.735
BEA,112.136
BEA,81.53
BEA,127.359
BEA,106.775
BEA,81.129
BEA,146.22
BEA,140.368
BEA,104.313
BEA,124.351
BEA,80.778
