Driver,LapTime
RUS,111.876
RUS,79.84
RUS,121.569
RUS,110.313
RUS,93.246
RUS,79.507
RUS,139.248
RUS,78.934
RUS,108.654
RUS,78.987
RUS,108.083
RUS,79.084
RUS,102.628
RUS,78.518
ANT,119.979
ANT,80.12
ANT,108.494
ANT,80.289
ANT,122.055
ANT,79.604
ANT,102.207
ANT,79.435
ANT,102.729
ANT,96.911
ANT,78.811
HAD,108.799
HAD,80.445
HAD,120.766
HAD,80.023
HAD,108.263
HAD,79.706
HAD,110.017
HAD,79.653
HAD,79.625
HAD,108.88
HAD,79.303
LEC,111.48
LEC,80.712
LEC,107.918
LEC,80.226
LEC,113.382
LEC,80.088
LEC,106.645
LEC,96.464
LEC,80.296
LEC,95.534
LEC,79.357
LEC,117.877
LEC,117.137
LEC,80.244
LEC,98.452
LEC,79.327
PIA,121.546
PIA,80.552
PIA,110.825
PIA,105.3
PIA,80.272
PIA,88.974
PIA,79.664
PIA,116.518
PIA,104.75
PIA,79.582
PIA,106.667
PIA,79.525
PIA,90.057
PIA,80.322
PIA,95.254
PIA,79.38
NOR,126.258
NOR,81.232
NOR,109.724
NOR,97.484
NOR,80.448
NOR,95.054
NOR,92.802
NOR,80.01
NOR,118.308
NOR,98.007
NOR,79.882
NOR,111.016
NOR,79.909
NOR,96.255
NOR,114.507
NOR,79.605
NOR,116.603
NOR,79.475
HAM,108.17
HAM,80.852
HAM,107.042
HAM,94.814
HAM,80.421
HAM,119.467
HAM,79.811
HAM,149.731
HAM,96.101
HAM,103.821
HAM,94.645
HAM,79.921
HAM,111.111
HAM,117.488
HAM,116.784
HAM,80.423
HAM,120.661
HAM,79.478
LAW,134.069
LAW,81.3
LAW,106.129
LAW,106.121
LAW,80.599
LAW,107.504
LAW,80.491
LAW,131.095
LAW,93.699
LAW,80.144
LAW,115.672
LAW,103.621
LAW,80.211
LAW,106.604
LAW,93.454
LAW,79.994
LIN,132.239
LIN,81.008
LIN,106.451
LIN,105.85
LIN,80.409
LIN,81.113
LIN,102.796
LIN,80.436
LIN,127.991
LIN,93.949
LIN,79.971
LIN,125.736
LIN,102.469
LIN,81.3
LIN,102.274
LIN,92.972
LIN,81.247
BOR,121.211
BOR,90.971
BOR,80.495
BOR,116.178
BOR,80.747
BOR,121.357
BOR,96.52
BOR,80.374
BOR,104.231
BOR,99.431
BOR,80.221
BOR,95.536
HUL,96.136
HUL,81.232
HUL,111.916
HUL,81.088
HUL,107.391
HUL,81.024
HUL,114.052
HUL,131.575
HUL,81.191
HUL,108.237
HUL,80.303
HUL,117.291
HUL,82.86
BEA,81.408
BEA,112.229
BEA,81.247
BEA,108.796
BEA,81.44
BEA,114.698
BEA,81.389
BEA,112.695
BEA,96.718
BEA,80.655
BEA,107.954
BEA,93.636
BEA,80.311
OCO,81.818
OCO,111.972
OCO,81.264
OCO,116.745
OCO,80.759
OCO,110.647
OCO,80.868
OCO,92.579
OCO,80.491
OCO,107.295
OCO,94.452
OCO,81.069
GAS,124.879
GAS,82.674
GAS,110.024
GAS,106.418
GAS,81.431
GAS,111.756
GAS,97.775
GAS,81.138
GAS,130.732
GAS,95.754
GAS,80.501
GAS,107.314
GAS,107.186
GAS,80.826
ALB,81.802
ALB,114.904
ALB,82.223
ALB,113.099
ALB,81.481
ALB,112.886
ALB,81.051
ALB,116.823
ALB,81.975
ALB,119.3
ALB,99.026
ALB,80.941
ALB,103.318
COL,121.668
COL,83.393
COL,111.55
COL,108.667
COL,82.247
COL,115.225
COL,103.13
COL,81.2
COL,125.999
COL,104.501
COL,81.852
COL,109.275
COL,105.209
COL,81.27
ALO,133.764
ALO,83.011
ALO,103.728
ALO,82.555
ALO,116.787
ALO,82.15
ALO,100.143
ALO,81.969
PER,132.455
PER,83.567
PER,106.087
PER,82.605
BOT,129.994
BOT,83.641
BOT,101.323
BOT,104.306
BOT,83.244
VER,102.025
