Driver,Quali_time,Quali_delta,GridPosition,Sprint_performance_score,Race_pace_norm,Tyre_deg_norm,Team_Pace,Prev_Race_Score,Racecraft,FinalPosition,Race
RUS,72.578,0.0,1,0.0,0.4,0.8,0.325,0.25,-2.0,19.0,Canada
ANT,72.646,0.06799999999999784,2,-1.0,0.25,0.95,0.325,1.0,0.0,1.0,Canada
NOR,72.729,0.15099999999999625,3,1.0,0.05,0.5,0.07500000000000001,0.2,0.0,18.0,Canada
PIA,72.781,0.20300000000000296,4,0.0,0.1,0.35,0.07500000000000001,0.5,1.0,11.0,Canada
HAM,72.868,0.28999999999999204,5,-1.0,0.15,0.85,0.175,0.16666666666666666,0.0,2.0,Canada
VER,72.907,0.3289999999999935,6,0.0,0.45,0.2,0.5,0.125,3.0,3.0,Canada
HAD,72.935,0.3569999999999993,7,-13.0,0.55,0.1,0.5,0.08333333333333333,-4.0,5.0,Canada
LEC,72.976,0.39799999999999613,8,1.0,0.2,0.9,0.175,0.3333333333333333,1.0,4.0,Canada
LIN,73.28,0.7019999999999982,9,1.0,0.35,0.65,0.35,0.07142857142857142,-4.0,22.0,Canada
COL,73.697,1.1189999999999998,10,4.0,0.3,0.45,0.475,0.0625,-1.0,6.0,Canada
HUL,73.886,1.3079999999999927,11,-4.0,0.6,0.55,0.6499999999999999,0.09090909090909091,2.0,12.0,Canada
BOR,74.071,1.492999999999995,13,0.0,0.7,0.05,0.6499999999999999,0.07692307692307693,-4.0,13.0,Canada
GAS,74.187,1.6089999999999947,14,-1.0,0.65,0.3,0.475,0.14285714285714285,0.0,8.0,Canada
SAI,74.273,1.6949999999999932,15,0.0,0.5,0.25,0.5,0.06666666666666667,1.0,9.0,Canada
BEA,74.416,1.8379999999999939,16,-3.0,0.8,0.15,0.9,0.045454545454545456,-4.0,10.0,Canada
OCO,74.845,2.266999999999996,17,1.0,1.0,1.0,0.9,0.1,2.0,14.0,Canada
ALO,75.196,2.617999999999995,19,-6.0,0.9,0.7,0.875,0.05555555555555555,3.0,20.0,Canada
PER,75.429,2.850999999999999,20,3.0,0.75,0.6,0.85,0.058823529411764705,2.0,17.0,Canada
STR,76.195,3.6169999999999902,21,2.0,0.85,0.75,0.875,0.047619047619047616,1.0,15.0,Canada
BOT,76.272,3.6940000000000026,22,3.0,0.95,0.4,0.85,0.05263157894736842,1.0,16.0,Canada
