Driver,LapTime
NOR,82.647
NOR,95.018
NOR,80.708
NOR,143.488
NOR,86.428
NOR,90.603
NOR,77.459
NOR,89.974
NOR,76.453
NOR,84.792
NOR,82.073
NOR,75.784
NOR,91.527
NOR,75.192
NOR,102.971
NOR,75.192
NOR,89.774
NOR,87.775
NOR,75.298
NOR,89.434
NOR,74.799
NOR,103.876
NOR,131.815
NOR,133.919
NOR,128.271
GAS,100.042
GAS,92.897
GAS,80.915
GAS,102.684
GAS,91.976
GAS,109.823
GAS,90.825
GAS,80.108
GAS,77.823
GAS,77.221
GAS,77.055
GAS,82.745
GAS,77.637
GAS,78.368
GAS,76.809
GAS,79.297
GAS,111.596
GAS,92.197
GAS,77.857
GAS,95.43
GAS,94.375
GAS,100.561
GAS,96.346
GAS,139.67
GAS,149.183
PER,100.057
PER,83.437
PER,104.241
PER,80.587
PER,104.593
PER,107.846
PER,94.189
PER,78.7
PER,92.336
PER,79.153
PER,78.485
PER,78.306
PER,78.195
PER,77.986
PER,77.926
PER,78.866
PER,77.96
PER,78.438
PER,79.218
PER,78.006
PER,92.563
PER,142.839
ANT,135.18
ANT,89.301
ANT,77.526
ANT,90.942
ANT,101.379
ANT,106.901
ANT,76.734
ANT,75.994
ANT,76.386
ANT,75.751
ANT,75.79
ANT,88.64
ANT,82.482
ANT,74.67
ANT,96.102
ANT,97.958
ANT,74.392
ANT,89.384
ANT,92.169
ANT,74.594
ANT,88.21
ANT,73.402
ANT,89.36
ANT,92.9
ANT,96.59
ANT,137.892
ANT,133.904
ALO,128.009
ALO,107.885
ALO,83.057
ALO,79.237
ALO,98.909
ALO,120.944
ALO,90.883
ALO,76.785
ALO,96.883
ALO,90.022
ALO,90.798
ALO,91.089
ALO,76.218
ALO,92.596
ALO,76.022
ALO,92.864
ALO,78.49
ALO,78.153
ALO,77.774
ALO,77.307
ALO,89.95
ALO,86.843
ALO,75.863
ALO,89.665
ALO,138.861
ALO,134.939
LEC,97.813
LEC,92.882
LEC,78.51
LEC,90.392
LEC,90.036
LEC,114.147
LEC,119.318
LEC,87.645
LEC,76.275
LEC,86.569
LEC,81.34
LEC,94.092
LEC,94.29
LEC,75.4
LEC,95.546
LEC,75.712
LEC,75.357
LEC,75.952
LEC,78.03
LEC,76.803
LEC,76.473
LEC,75.714
LEC,87.214
LEC,74.355
LEC,92.429
LEC,93.792
LEC,86.536
LEC,88.037
LEC,95.624
LEC,143.797
LEC,146.108
STR,97.462
STR,81.076
STR,79.61
STR,95.239
STR,104.217
STR,112.848
STR,78.297
STR,110.822
STR,101.315
STR,77.748
STR,105.837
STR,78.026
STR,109.742
STR,77.992
STR,97.802
STR,77.606
STR,104.496
STR,77.321
STR,90.002
STR,89.736
STR,76.978
STR,116.587
STR,127.384
STR,145.864
ALB,115.675
ALB,92.099
ALB,79.454
ALB,100.106
ALB,78.014
ALB,119.355
ALB,100.356
ALB,77.153
ALB,101.99
ALB,88.978
ALB,76.642
ALB,102.908
ALB,91.911
HUL,89.239
HUL,90.713
HUL,94.812
HUL,93.455
HUL,83.357
HUL,95.687
HUL,90.562
HUL,77.945
HUL,90.539
HUL,84.636
HUL,76.989
HUL,95.334
HUL,76.263
HUL,92.019
HUL,75.698
HUL,91.557
HUL,86.954
HUL,122.414
HUL,119.452
HUL,136.782
VER,104.055
VER,77.432
VER,96.401
VER,75.895
VER,127.586
VER,108.484
VER,88.738
VER,78.329
VER,76.903
VER,76.515
VER,76.495
VER,76.635
VER,76.493
VER,76.823
VER,81.338
VER,77.786
VER,76.525
VER,76.626
VER,76.96
VER,76.752
VER,95.117
VER,74.366
VER,107.293
VER,93.716
VER,132.015
VER,137.363
LAW,140.332
LAW,79.996
LAW,78.32
LAW,77.431
OCO,103.727
OCO,82.91
OCO,99.776
OCO,114.961
OCO,79.556
OCO,97.691
OCO,78.411
OCO,95.583
OCO,78.842
OCO,78.048
OCO,78.218
OCO,77.82
OCO,77.128
OCO,77.223
OCO,87.212
OCO,77.014
OCO,98.22
OCO,85.602
OCO,76.497
OCO,87.216
OCO,83.632
OCO,79.485
OCO,86.502
OCO,87.343
OCO,102.266
OCO,135.707
OCO,138.646
LIN,83.505
LIN,79.335
LIN,99.734
LIN,82.829
LIN,110.457
LIN,98.22
LIN,77.261
LIN,93.583
LIN,95.439
LIN,76.867
LIN,90.797
LIN,75.452
LIN,95.226
LIN,75.462
LIN,89.3
LIN,76.834
LIN,76.97
LIN,77.163
LIN,77.002
LIN,94.918
LIN,75.636
LIN,87.98
LIN,75.525
LIN,93.645
LIN,98.041
LIN,125.428
LIN,142.25
HAM,95.471
HAM,102.887
HAM,89.603
HAM,78.609
HAM,101.301
HAM,90.595
HAM,78.099
HAM,89.237
HAM,76.075
HAM,89.957
HAM,75.405
HAM,106.686
HAM,77.758
HAM,76.159
HAM,75.73
HAM,75.738
HAM,77.046
HAM,76.15
HAM,83.024
HAM,75.266
HAM,90.365
HAM,99.828
HAM,85.828
HAM,74.752
HAM,90.553
HAM,86.412
HAM,74.176
HAM,109.189
HAM,96.0
HAM,134.998
HAM,132.25
BOR,92.439
BOR,80.451
BOR,107.781
BOR,78.718
BOR,91.962
BOR,78.501
BOR,103.64
BOR,77.279
BOR,94.607
BOR,93.931
BOR,77.355
BOR,111.775
BOR,91.399
BOR,76.516
BOR,85.241
BOR,78.064
BOR,77.273
BOR,77.062
BOR,77.067
BOR,77.033
BOR,90.401
BOR,92.454
BOR,76.214
BOR,113.725
BOR,138.95
BOR,143.791
SAI,112.576
SAI,89.086
SAI,78.828
SAI,99.119
SAI,77.709
SAI,130.114
SAI,97.648
SAI,82.066
SAI,77.232
SAI,104.879
SAI,89.887
SAI,76.66
SAI,98.205
SAI,95.305
SAI,78.109
SAI,78.59
SAI,77.132
