Driver,LapTime
RUS,105.912
RUS,93.31
RUS,74.438
RUS,89.339
RUS,73.953
RUS,108.186
RUS,88.607
RUS,73.611
RUS,86.688
RUS,85.769
RUS,90.454
RUS,73.079
RUS,87.589
RUS,97.739
RUS,82.226
RUS,83.53
RUS,72.993
RUS,96.557
RUS,72.578
ANT,104.913
ANT,94.575
ANT,74.228
ANT,98.057
ANT,73.38
ANT,103.99
ANT,88.165
ANT,73.076
ANT,89.285
ANT,84.881
ANT,73.214
ANT,108.016
ANT,73.18
ANT,90.985
ANT,97.017
ANT,73.088
ANT,93.209
ANT,88.194
ANT,72.646
ANT,108.315
NOR,101.383
NOR,88.577
NOR,74.213
NOR,86.987
NOR,90.96
NOR,73.531
NOR,96.202
NOR,73.503
NOR,88.388
NOR,73.235
NOR,95.856
NOR,73.144
NOR,93.531
NOR,93.668
NOR,73.049
NOR,96.108
NOR,90.012
NOR,72.729
NOR,91.818
NOR,90.666
NOR,72.734
NOR,108.973
PIA,106.72
PIA,75.105
PIA,99.259
PIA,74.221
PIA,95.936
PIA,87.397
PIA,73.559
PIA,98.628
PIA,76.976
PIA,105.014
PIA,91.158
PIA,73.416
PIA,98.376
PIA,90.662
PIA,91.365
PIA,89.843
PIA,73.285
PIA,142.575
PIA,89.441
PIA,73.003
PIA,95.108
PIA,88.832
PIA,72.781
HAM,101.217
HAM,91.552
HAM,74.835
HAM,95.47
HAM,74.302
HAM,95.903
HAM,73.974
HAM,100.842
HAM,90.923
HAM,73.767
HAM,108.144
HAM,88.137
HAM,73.27
HAM,98.262
HAM,87.664
HAM,85.205
HAM,73.041
HAM,96.343
HAM,90.561
HAM,72.868
HAM,105.458
HAM,88.831
VER,106.145
VER,74.609
VER,97.172
VER,74.067
VER,108.468
VER,84.505
VER,87.471
VER,73.479
VER,92.665
VER,87.055
VER,73.553
VER,85.87
VER,73.473
VER,89.76
VER,73.502
VER,96.058
VER,72.907
HAD,104.644
HAD,75.381
HAD,96.278
HAD,73.654
HAD,102.665
HAD,73.623
HAD,99.68
HAD,73.204
HAD,98.291
HAD,87.565
HAD,72.975
HAD,143.011
HAD,86.604
HAD,73.99
HAD,96.379
HAD,87.126
HAD,72.935
LEC,105.132
LEC,86.542
LEC,76.346
LEC,96.518
LEC,89.066
LEC,74.474
LEC,89.024
LEC,79.928
LEC,73.825
LEC,89.214
LEC,111.256
LEC,97.861
LEC,74.325
LEC,91.068
LEC,73.815
LEC,90.569
LEC,95.384
