Driver,LapTime
RUS,75.305
RUS,75.045
RUS,74.721
RUS,75.156
RUS,77.199
RUS,75.17
RUS,74.98
RUS,74.736
RUS,74.791
RUS,74.942
RUS,75.036
RUS,74.809
RUS,74.885
RUS,74.772
RUS,74.702
RUS,75.047
RUS,74.849
RUS,74.715
RUS,74.802
RUS,74.741
RUS,74.897
RUS,75.153
NOR,75.968
NOR,75.525
NOR,75.028
NOR,75.018
NOR,75.245
NOR,74.883
NOR,74.769
NOR,74.802
NOR,74.908
NOR,74.596
NOR,75.025
NOR,74.85
NOR,75.36
NOR,74.615
NOR,74.639
NOR,74.785
NOR,75.012
NOR,74.952
NOR,74.62
NOR,74.757
NOR,75.002
NOR,75.654
ANT,75.221
ANT,75.141
ANT,74.606
ANT,74.908
ANT,78.995
ANT,74.95
ANT,74.865
ANT,75.393
ANT,74.977
ANT,74.38
ANT,74.533
ANT,74.908
ANT,74.605
ANT,75.019
ANT,74.746
ANT,74.427
ANT,75.068
ANT,74.841
ANT,74.836
ANT,74.9
ANT,74.38
ANT,76.059
PIA,76.164
PIA,75.529
PIA,75.127
PIA,75.102
PIA,75.595
PIA,75.199
PIA,74.852
PIA,75.11
PIA,75.335
PIA,75.033
PIA,74.889
PIA,75.079
PIA,74.846
PIA,75.182
PIA,75.112
PIA,74.793
PIA,75.049
PIA,75.373
PIA,75.345
PIA,75.333
PIA,76.95
PIA,76.231
LEC,76.229
LEC,75.673
LEC,75.26
LEC,74.851
LEC,75.295
LEC,76.211
LEC,74.809
LEC,75.44
LEC,74.962
LEC,74.741
LEC,74.876
LEC,74.798
LEC,74.845
LEC,74.903
LEC,75.703
LEC,75.112
LEC,75.018
LEC,75.317
LEC,75.496
LEC,75.484
LEC,75.817
LEC,76.01
HAM,76.053
HAM,75.405
HAM,75.264
HAM,75.375
HAM,75.472
HAM,75.091
HAM,74.981
HAM,74.872
HAM,75.542
HAM,74.934
HAM,74.695
HAM,75.166
HAM,75.203
HAM,75.03
HAM,74.884
HAM,75.082
HAM,75.094
HAM,75.308
HAM,75.389
HAM,75.601
HAM,77.662
HAM,76.528
VER,76.373
VER,75.837
VER,75.568
VER,75.3
VER,75.436
VER,75.295
VER,75.168
VER,75.32
VER,75.182
VER,74.974
VER,75.273
VER,75.131
VER,75.339
VER,75.154
VER,75.116
VER,75.168
VER,75.53
VER,75.812
VER,75.429
VER,75.27
VER,78.645
VER,75.946
LIN,77.405
LIN,76.515
LIN,75.857
LIN,75.935
LIN,75.986
LIN,75.721
LIN,75.925
LIN,75.856
LIN,76.01
LIN,75.973
LIN,76.083
LIN,75.952
LIN,75.653
LIN,75.749
LIN,75.965
LIN,76.173
LIN,76.14
LIN,76.219
LIN,76.493
LIN,76.499
LIN,76.422
LIN,76.534
COL,77.792
COL,76.615
COL,75.933
COL,75.796
COL,76.606
COL,76.513
COL,76.382
COL,75.921
COL,75.705
COL,75.673
COL,75.478
COL,75.489
COL,75.629
COL,76.037
COL,75.86
COL,75.988
COL,76.516
COL,76.278
COL,76.105
COL,76.096
COL,76.119
COL,76.108
SAI,77.378
SAI,76.866
SAI,76.506
SAI,76.459
SAI,76.7
SAI,77.247
SAI,76.816
SAI,76.134
SAI,76.046
SAI,76.346
SAI,76.43
SAI,76.36
SAI,76.438
SAI,76.567
SAI,76.079
SAI,75.943
SAI,75.981
SAI,76.041
SAI,76.443
SAI,75.945
SAI,76.615
SAI,76.009
LAW,79.411
LAW,77.788
LAW,77.491
LAW,76.78
LAW,76.257
LAW,76.733
LAW,76.743
LAW,76.372
LAW,76.971
LAW,77.184
LAW,77.55
LAW,76.808
LAW,76.614
LAW,76.674
LAW,77.189
LAW,77.062
LAW,77.515
LAW,77.588
LAW,77.395
LAW,78.842
LAW,77.111
LAW,78.291
BOR,80.193
BOR,77.802
BOR,77.742
BOR,77.562
BOR,77.321
BOR,76.791
BOR,76.152
BOR,75.98
BOR,76.35
BOR,76.763
BOR,77.543
BOR,76.507
BOR,77.153
BOR,76.364
BOR,76.966
BOR,77.352
BOR,77.133
BOR,78.275
BOR,77.166
BOR,78.586
BOR,77.674
BOR,77.502
OCO,77.705
OCO,77.254
OCO,77.238
OCO,77.384
OCO,76.945
OCO,77.269
OCO,77.026
OCO,76.849
OCO,77.196
OCO,77.299
OCO,77.012
OCO,77.078
OCO,76.898
OCO,76.956
OCO,77.141
OCO,77.329
OCO,77.366
OCO,81.519
OCO,78.746
OCO,77.525
OCO,77.279
OCO,77.916
PER,78.145
PER,77.5
PER,76.879
PER,77.172
PER,76.882
PER,77.633
PER,77.01
PER,76.641
PER,77.149
PER,77.142
PER,77.381
PER,77.008
PER,76.806
PER,77.039
PER,77.112
PER,76.962
PER,77.639
PER,77.571
PER,77.619
PER,77.987
PER,77.736
PER,77.716
HUL,79.133
HUL,77.716
HUL,77.103
HUL,77.0
HUL,76.899
HUL,76.517
HUL,76.672
HUL,76.548
HUL,76.967
HUL,77.24
HUL,77.206
HUL,77.284
HUL,79.189
HUL,77.686
HUL,78.16
HUL,77.932
HUL,76.395
HUL,76.634
HUL,76.297
HUL,77.889
HUL,77.479
HUL,77.682
STR,78.76
STR,78.014
STR,78.47
STR,78.781
STR,78.211
STR,77.487
STR,77.611
STR,77.882
STR,78.155
STR,78.443
STR,78.201
STR,77.771
STR,77.792
STR,77.456
STR,77.623
STR,77.12
STR,77.435
STR,77.822
STR,80.697
STR,80.104
STR,77.977
BOT,78.97
BOT,79.253
BOT,79.486
BOT,78.926
BOT,79.051
BOT,78.242
BOT,78.329
BOT,77.648
BOT,78.945
BOT,78.901
BOT,78.293
BOT,77.914
BOT,77.913
BOT,77.693
BOT,77.625
BOT,77.212
BOT,77.41
BOT,79.775
BOT,82.378
BOT,80.752
BOT,77.237
BEA,78.388
BEA,78.247
BEA,77.11
BEA,79.728
BEA,78.38
BEA,77.34
BEA,77.144
BEA,77.075
BEA,77.444
BEA,78.137
BEA,77.15
BEA,76.978
BEA,76.88
BEA,76.645
BEA,76.641
BEA,76.957
BEA,108.156
BEA,82.623
BEA,76.848
BEA,76.527
BEA,76.21
ALB,78.514
ALB,78.435
ALB,79.511
ALB,78.604
ALB,77.974
ALB,77.304
ALB,76.819
ALB,76.776
ALB,76.523
ALB,76.834
ALB,77.108
ALB,77.533
ALB,93.683
ALB,81.24
ALB,76.889
ALB,94.319
ALB,75.717
ALB,96.316
ALB,81.695
ALB,78.448
ALB,76.154
GAS,77.515
GAS,78.37
GAS,77.19
GAS,78.168
GAS,76.81
GAS,77.507
GAS,77.046
GAS,76.929
GAS,76.38
GAS,76.527
GAS,76.15
GAS,76.457
GAS,76.816
GAS,77.084
GAS,76.88
GAS,76.335
GAS,76.56
GAS,141.537
GAS,85.054
GAS,81.262
GAS,87.384
HAD,76.689
HAD,75.808
HAD,75.433
HAD,97.03
HAD,91.359
HAD,81.162
HAD,92.449
HAD,81.183
HAD,75.829
HAD,74.941
HAD,74.962
HAD,75.213
HAD,75.03
HAD,75.026
HAD,75.257
HAD,75.161
HAD,75.219
HAD,76.176
ALO,78.961
ALO,78.629
ALO,78.442
ALO,77.709
ALO,78.246
ALO,78.417
ALO,77.543
ALO,78.022
ALO,77.673
ALO,78.886
ALO,78.249
ALO,78.433
ALO,79.259
ALO,96.638
