Driver,LapTime
ANT,103.433
ANT,87.534
ANT,74.01
ANT,90.859
ANT,92.65
ANT,88.373
ANT,73.551
ANT,100.117
ANT,98.731
ANT,73.5
ANT,102.718
ANT,73.033
RUS,103.965
RUS,74.772
RUS,91.66
RUS,78.246
RUS,100.999
RUS,87.058
RUS,73.466
RUS,96.189
RUS,91.88
RUS,73.026
RUS,82.457
RUS,92.741
RUS,73.194
RUS,102.092
RUS,72.965
RUS,109.328
HAM,75.459
HAM,99.454
HAM,86.505
HAM,73.922
HAM,94.294
HAM,73.889
HAM,99.491
HAM,76.374
HAM,99.858
HAM,73.637
HAM,96.672
HAM,90.502
HAM,73.465
HAM,88.914
HAM,91.204
HAM,73.411
HAM,95.588
HAM,73.326
LEC,101.448
LEC,87.622
LEC,75.006
LEC,95.186
LEC,95.328
LEC,92.072
LEC,101.041
LEC,97.944
LEC,73.965
LEC,89.046
LEC,73.554
LEC,92.485
LEC,88.658
LEC,73.858
LEC,100.147
LEC,73.41
VER,101.284
VER,74.476
VER,97.306
VER,74.028
VER,101.216
VER,86.356
VER,85.242
VER,74.412
VER,92.661
VER,73.507
VER,96.45
VER,73.504
NOR,104.927
NOR,95.628
NOR,74.907
NOR,93.559
NOR,74.265
NOR,103.418
NOR,100.216
NOR,73.957
NOR,102.854
NOR,74.055
NOR,100.553
NOR,73.28
PIA,104.26
PIA,101.839
PIA,74.804
PIA,98.379
PIA,74.665
PIA,115.232
PIA,86.052
PIA,73.858
PIA,114.748
PIA,73.686
PIA,102.001
PIA,73.299
LIN,108.28
LIN,96.679
LIN,75.228
LIN,100.089
LIN,74.517
LIN,99.067
LIN,97.115
LIN,74.395
LIN,92.75
LIN,74.14
LIN,100.457
LIN,77.019
LIN,103.842
LIN,73.985
LIN,101.846
LIN,73.737
HUL,93.216
HUL,84.921
HUL,76.289
HUL,101.248
HUL,75.673
HUL,107.902
HUL,82.712
HUL,88.724
HUL,75.978
HUL,95.7
HUL,74.595
ALO,102.783
ALO,95.02
ALO,76.064
ALO,98.16
ALO,75.76
ALO,98.642
BOR,102.981
BOR,102.985
BOR,77.974
BOR,99.937
BOR,75.801
BOR,100.21
BOR,76.435
BOR,91.732
BOR,74.871
BOR,103.015
BOR,74.627
HAD,109.832
HAD,75.673
HAD,97.312
HAD,74.541
HAD,101.557
HAD,104.145
HAD,74.605
HAD,96.081
HAD,74.239
HAD,95.384
HAD,86.725
HAD,73.605
HAD,95.511
HAD,74.034
OCO,106.711
OCO,99.341
OCO,76.608
OCO,91.289
OCO,75.76
OCO,99.788
OCO,97.546
OCO,96.417
OCO,89.817
OCO,75.145
OCO,95.304
OCO,75.529
OCO,89.093
OCO,74.928
SAI,104.643
SAI,77.172
SAI,99.804
SAI,76.734
SAI,97.456
SAI,75.5
SAI,77.365
SAI,102.222
SAI,75.295
SAI,110.052
SAI,74.828
SAI,97.848
SAI,87.931
SAI,74.547
SAI,98.823
SAI,89.917
SAI,74.629
SAI,100.326
SAI,74.536
GAS,91.999
GAS,86.622
GAS,76.642
GAS,102.89
GAS,76.678
GAS,88.913
STR,102.141
STR,100.646
STR,77.281
STR,95.857
STR,76.354
STR,97.813
BEA,104.438
BEA,84.465
BEA,76.662
BEA,98.318
BEA,75.872
BEA,107.269
BEA,96.033
BEA,88.971
BEA,75.305
BEA,95.676
BEA,91.029
BEA,90.951
BEA,75.197
BOT,103.269
BOT,83.545
BOT,77.642
BOT,95.579
BOT,76.866
BOT,96.847
PER,93.045
PER,81.22
PER,83.366
PER,76.799
PER,98.032
PER,76.002
COL,93.778
COL,91.398
COL,76.962
COL,100.738
COL,75.484
COL,99.012
COL,89.666
COL,75.312
COL,93.052
COL,74.94
COL,96.085
COL,74.702
