Driver,Quali_time,Quali_delta,GridPosition,Sprint_performance_score,Race_pace_norm,Tyre_deg_norm,Pace_Stability,Team_Pace,Prev_Race_Score,Racecraft,FinalPosition,Race
ANT,92.064,0.0,1,-3.0,0.9344598262612547,0.33921060910930684,0.0,0.9379600382916286,0.5,0.0,1.0,China
RUS,92.286,0.2220000000000084,2,0.0,0.9414602503220024,0.5733176033274977,0.0,0.9379600382916286,1.0,0.0,2.0,China
HAM,92.415,0.3510000000000133,3,1.0,0.9474013604859459,0.5552968176701846,0.0,0.9574510857868515,0.25,3.0,3.0,China
LEC,92.428,0.3640000000000043,4,4.0,0.9675008110877569,0.6132548019668116,0.0,0.9574510857868515,0.3333333333333333,1.0,4.0,China
PIA,92.55,0.4860000000000042,5,-1.0,0.9658703955086895,0.3973052883099314,0.0,0.9639819287713627,0.047619047619047616,-16.0,19.0,China
NOR,92.608,0.5440000000000111,6,-1.0,0.9620934620340359,0.09386982381879123,0.0,0.9639819287713627,0.2,1.0,20.0,China
GAS,92.873,0.8090000000000117,7,-4.0,0.9587116943634715,0.5077897699766306,0.0,0.9640137073448528,0.1,4.0,6.0,China
VER,93.002,0.9380000000000024,8,-1.0,0.9746025899435518,-0.07984008215556461,0.0,0.968734536369083,0.16666666666666666,14.0,16.0,China
HAD,93.121,1.0570000000000022,9,-5.0,0.9628664827946143,0.06202408086061173,0.0,0.968734536369083,0.05,-17.0,8.0,China
BEA,93.197,1.1330000000000098,10,1.0,0.9515806673196695,0.025914700604683427,0.0,0.9575071307251425,0.14285714285714285,5.0,5.0,China
HUL,93.354,1.2900000000000063,11,-9.0,0.9705727725067483,0.5909517718145841,0.0,0.974286261894233,0.045454545454545456,-11.0,11.0,China
COL,93.357,1.2930000000000064,12,2.0,0.9693157203262341,0.13188621265577,0.0,0.9640137073448528,0.07142857142857142,2.0,10.0,China
OCO,93.538,1.4740000000000038,13,2.0,0.9634335941306155,0.5557906748263087,0.0,0.9575071307251425,0.09090909090909091,2.0,14.0,China
BOR,93.549,1.4850000000000136,14,1.0,0.9779997512817175,-0.12907439470507606,0.0,0.974286261894233,0.1111111111111111,1.0,21.0,China
LAW,93.765,1.7010000000000076,15,6.0,0.9602200652021248,0.26600834487954816,0.0,0.9604422252362785,0.07692307692307693,-4.0,7.0,China
LIN,93.784,1.720000000000013,16,-7.0,0.9606643852704322,1.0,0.0,0.9604422252362785,0.125,0.0,12.0,China
SAI,94.317,2.253,17,5.0,0.986568600892357,0.5404489040440799,0.0,0.9890954203254843,0.06666666666666667,6.0,9.0,China
ALB,94.772,2.7080000000000126,18,2.0,0.9916222397586116,0.24799832000424737,0.0,0.9890954203254843,0.08333333333333333,3.0,22.0,China
ALO,95.203,3.13900000000001,19,2.0,1.0,0.45727004709665,0.0,0.9855998462413176,0.05555555555555555,-1.0,17.0,China
BOT,95.436,3.372000000000014,20,0.0,0.9967133546268407,0.4416567361289595,0.0,0.9967133546268407,0.05263157894736842,0.0,13.0,China
STR,95.995,3.9310000000000116,21,2.0,0.971199692482635,0.5308958697767155,0.0,0.9855998462413176,0.058823529411764705,5.0,18.0,China
