Driver,LapTime
NOR,106.73
NOR,97.542
NOR,123.126
NOR,108.094
NOR,137.294
NOR,121.882
NOR,109.021
NOR,95.572
NOR,116.553
NOR,114.401
NOR,102.826
NOR,98.882
NOR,100.206
NOR,97.747
NOR,97.366
NOR,97.795
NOR,103.805
NOR,93.7
NOR,125.589
NOR,93.745
NOR,125.306
NOR,93.296
NOR,126.301
VER,106.986
VER,96.052
VER,127.672
VER,133.324
VER,96.04
VER,117.654
VER,98.731
VER,99.24
VER,99.498
VER,100.366
VER,99.627
VER,99.798
VER,100.426
VER,110.418
VER,94.541
VER,130.505
VER,94.806
VER,132.199
VER,117.259
VER,139.658
VER,147.488
BOR,100.29
BOR,127.891
BOR,114.577
BOR,138.262
BOR,97.743
BOR,143.758
BOR,128.507
BOR,103.362
BOR,107.68
BOR,96.232
BOR,127.761
BOR,105.812
BOR,98.302
BOR,98.752
BOR,99.295
BOR,109.664
BOR,114.992
BOR,95.148
BOR,136.456
BOR,94.828
HAD,135.198
HAD,114.572
HAD,96.544
HAD,149.05
HAD,95.951
HAD,144.798
HAD,98.721
HAD,98.916
HAD,100.014
HAD,100.524
HAD,104.98
HAD,101.186
HAD,101.612
HAD,101.151
HAD,101.578
HAD,101.36
HAD,108.649
HAD,95.185
HAD,145.436
HAD,94.856
HAD,139.009
HAD,142.122
GAS,97.754
GAS,140.983
GAS,95.974
GAS,144.195
GAS,120.52
GAS,101.626
GAS,142.416
GAS,122.122
GAS,95.639
GAS,120.356
GAS,97.956
GAS,97.916
GAS,97.907
GAS,98.192
GAS,98.725
GAS,98.664
GAS,105.099
GAS,94.676
GAS,134.829
GAS,94.853
GAS,121.107
GAS,128.782
GAS,149.676
PER,103.34
PER,124.978
PER,99.2
PER,145.702
PER,101.142
PER,142.222
PER,130.776
PER,101.916
PER,101.925
PER,101.57
PER,122.528
ANT,110.628
ANT,95.094
ANT,133.855
ANT,99.187
ANT,141.979
ANT,94.794
ANT,96.672
ANT,96.342
ANT,96.134
ANT,96.162
ANT,96.032
ANT,96.215
ANT,96.222
ANT,96.837
ANT,97.683
ANT,102.759
ANT,92.963
ANT,123.906
ANT,96.08
ANT,138.221
ANT,92.861
ANT,114.968
ANT,130.601
ALO,116.395
ALO,98.579
ALO,113.516
ALO,117.962
ALO,97.329
ALO,115.353
ALO,96.761
ALO,117.089
ALO,106.905
ALO,95.875
ALO,122.46
ALO,95.856
ALO,119.86
LEC,111.963
LEC,95.543
LEC,139.602
LEC,143.39
LEC,104.477
LEC,132.394
LEC,132.975
LEC,94.707
LEC,117.652
LEC,94.409
LEC,116.563
LEC,133.5
LEC,95.961
LEC,96.56
LEC,96.871
LEC,102.847
LEC,93.599
LEC,127.341
LEC,113.03
LEC,106.884
LEC,94.618
LEC,112.871
LEC,127.253
LEC,147.638
STR,104.01
STR,106.98
STR,143.633
STR,100.417
STR,128.384
STR,99.223
STR,138.212
STR,97.267
STR,129.746
STR,97.232
STR,138.064
STR,146.301
STR,97.224
STR,139.206
STR,122.598
ALB,107.953
ALB,97.771
ALB,119.701
ALB,134.654
ALB,96.738
ALB,118.072
ALB,111.485
ALB,107.384
ALB,96.494
ALB,118.202
ALB,98.108
ALB,98.268
ALB,98.301
ALB,99.37
ALB,98.751
ALB,98.304
ALB,109.038
ALB,112.296
ALB,116.493
ALB,95.48
ALB,127.053
ALB,95.572
ALB,117.564
ALB,119.084
ALB,139.51
HUL,99.64
HUL,123.273
HUL,99.307
HUL,108.563
HUL,136.571
HUL,105.31
HUL,96.074
HUL,113.219
HUL,130.408
HUL,96.128
HUL,110.693
HUL,98.679
HUL,97.733
HUL,104.178
HUL,104.026
HUL,94.925
HUL,121.773
