Driver,LapTime
ANT,93.305
ANT,122.47
ANT,92.95
ANT,145.284
ANT,92.443
ANT,121.273
ANT,92.322
ANT,108.256
ANT,92.064
ANT,118.062
RUS,93.262
RUS,131.474
RUS,92.523
RUS,116.245
RUS,117.937
RUS,105.617
RUS,92.286
RUS,132.756
HAM,95.892
HAM,118.798
HAM,93.522
HAM,131.966
HAM,92.834
HAM,115.967
HAM,92.567
HAM,126.863
HAM,106.805
HAM,93.02
HAM,116.241
HAM,92.415
HAM,130.702
LEC,94.507
LEC,114.827
LEC,104.077
LEC,93.175
LEC,118.354
LEC,92.902
LEC,112.202
LEC,92.486
LEC,122.599
LEC,107.894
LEC,92.623
LEC,116.257
LEC,92.428
LEC,127.785
PIA,93.99
PIA,121.531
PIA,93.59
PIA,124.552
PIA,93.364
PIA,118.249
PIA,93.13
PIA,126.391
PIA,93.254
PIA,122.007
PIA,92.55
PIA,116.801
PIA,92.568
PIA,132.631
NOR,94.401
NOR,114.046
NOR,93.535
NOR,118.89
NOR,93.271
NOR,116.401
NOR,93.024
NOR,124.799
NOR,92.91
NOR,113.615
NOR,92.608
NOR,113.305
NOR,92.631
NOR,122.239
GAS,94.503
GAS,117.628
GAS,93.904
GAS,120.834
GAS,116.611
GAS,93.788
GAS,123.973
GAS,93.28
GAS,121.1
GAS,93.003
GAS,125.25
GAS,94.052
GAS,116.735
GAS,92.873
GAS,132.084
VER,94.49
VER,134.212
VER,94.454
VER,111.277
VER,93.417
VER,123.322
VER,93.179
VER,114.13
VER,93.098
VER,121.98
VER,93.334
VER,108.941
VER,93.002
VER,124.717
HAD,94.519
HAD,125.814
HAD,94.396
HAD,117.136
HAD,93.632
HAD,127.074
HAD,93.352
HAD,117.892
HAD,93.497
HAD,115.226
HAD,93.354
HAD,113.303
HAD,93.121
HAD,129.033
BEA,94.804
BEA,110.796
BEA,93.756
BEA,135.892
BEA,93.687
BEA,121.073
BEA,93.197
BEA,119.193
BEA,105.574
BEA,93.956
BEA,121.123
BEA,93.292
BEA,137.192
HUL,133.272
HUL,94.116
HUL,130.677
HUL,94.158
HUL,115.361
HUL,93.368
HUL,114.547
HUL,93.354
HUL,121.602
COL,95.973
COL,111.54
COL,139.384
COL,94.388
COL,111.194
COL,93.634
COL,117.17
COL,93.616
COL,115.501
COL,93.357
COL,115.348
OCO,94.904
OCO,114.005
OCO,94.068
OCO,130.55
OCO,93.974
OCO,124.343
OCO,93.538
OCO,122.282
OCO,97.148
OCO,128.063
LAW,94.731
LAW,116.952
LAW,94.209
LAW,112.876
LAW,111.381
LAW,94.139
LAW,117.479
LAW,93.765
LAW,114.48
LAW,96.237
LAW,129.557
LIN,114.185
LIN,95.035
LIN,120.01
LIN,95.961
LIN,120.046
LIN,93.906
LIN,120.621
LIN,93.784
LIN,115.688
LIN,98.588
LIN,126.293
BOR,137.426
BOR,94.349
BOR,131.917
BOR,94.484
BOR,123.416
BOR,93.549
BOR,126.409
BOR,93.965
BOR,115.875
BOR,126.878
SAI,114.19
SAI,95.352
SAI,116.538
SAI,147.817
SAI,96.698
SAI,118.57
SAI,94.317
SAI,123.505
ALB,113.906
ALB,95.501
ALB,109.587
ALB,136.601
ALB,95.145
ALB,114.571
ALB,143.939
ALB,94.772
ALB,120.841
ALO,96.338
ALO,117.571
ALO,141.906
ALO,95.446
ALO,118.604
ALO,95.203
ALO,118.64
BOT,96.968
BOT,115.084
BOT,95.928
BOT,118.816
BOT,95.436
BOT,125.483
STR,97.069
STR,123.648
STR,140.364
STR,96.412
STR,120.023
STR,95.995
STR,130.224
PER,97.524
PER,114.254
PER,96.906
PER,124.362
