Driver,LapTime
NOR,98.09
NOR,97.947
NOR,98.022
NOR,97.52
NOR,97.369
NOR,98.639
NOR,97.355
NOR,97.542
NOR,97.849
NOR,97.982
NOR,98.075
NOR,109.338
NOR,147.971
NOR,142.224
NOR,96.566
NOR,96.524
NOR,95.708
GAS,100.438
GAS,99.367
GAS,99.097
GAS,100.104
GAS,98.741
GAS,99.528
GAS,99.236
GAS,99.386
GAS,99.997
GAS,100.211
GAS,99.219
GAS,113.893
GAS,139.627
GAS,147.646
GAS,137.547
GAS,98.349
GAS,98.695
GAS,98.652
PER,102.372
PER,99.911
PER,100.042
PER,99.646
PER,99.455
PER,99.952
PER,100.361
PER,100.219
PER,100.653
PER,101.515
PER,101.729
PER,127.204
PER,117.01
PER,130.796
PER,99.518
PER,98.862
PER,99.587
ANT,97.657
ANT,97.236
ANT,98.119
ANT,98.237
ANT,97.251
ANT,96.485
ANT,96.825
ANT,97.077
ANT,97.528
ANT,97.374
ANT,97.066
ANT,109.188
ANT,147.874
ANT,139.691
ANT,97.147
ANT,94.76
ANT,95.172
ALO,101.187
ALO,100.195
ALO,99.861
ALO,99.71
ALO,99.255
ALO,99.59
ALO,99.283
ALO,99.335
ALO,99.474
ALO,99.887
ALO,99.739
ALO,118.719
ALO,134.307
ALO,143.265
ALO,135.334
ALO,100.719
ALO,100.369
ALO,98.487
LEC,97.665
LEC,97.536
LEC,98.072
LEC,97.029
LEC,97.535
LEC,97.367
LEC,96.946
LEC,98.507
LEC,97.402
LEC,97.497
LEC,97.828
LEC,110.657
LEC,148.659
LEC,143.596
LEC,95.876
LEC,94.753
LEC,95.008
STR,101.321
STR,100.151
STR,100.075
STR,99.489
STR,99.639
STR,99.707
STR,100.662
STR,99.637
STR,100.064
STR,100.688
STR,101.07
STR,125.016
STR,121.373
STR,131.4
STR,99.331
STR,98.532
STR,99.263
ALB,100.061
ALB,99.476
ALB,99.955
ALB,99.052
ALB,98.559
ALB,98.791
ALB,99.244
ALB,98.925
ALB,99.268
ALB,99.988
ALB,101.171
ALB,120.593
