Driver,LapTime
RUS,93.03
RUS,125.536
RUS,92.241
RUS,135.844
RUS,92.293
RUS,119.325
RUS,91.52
RUS,123.622
RUS,91.707
RUS,131.382
ANT,93.455
ANT,129.938
ANT,92.57
ANT,128.639
ANT,92.291
ANT,115.805
ANT,91.88
ANT,124.484
ANT,91.809
ANT,115.716
NOR,113.772
NOR,93.783
NOR,121.769
NOR,111.264
NOR,93.163
NOR,127.3
NOR,93.086
NOR,119.07
NOR,92.141
NOR,123.523
PIA,109.171
PIA,93.813
PIA,130.586
PIA,113.82
PIA,93.146
PIA,126.217
PIA,93.038
PIA,122.804
PIA,92.224
PIA,128.768
LEC,94.248
LEC,126.713
LEC,93.423
LEC,127.438
LEC,93.194
LEC,113.107
LEC,92.602
LEC,118.395
LEC,92.732
LEC,121.526
LEC,92.528
LEC,130.657
HAM,93.73
HAM,133.715
HAM,93.148
HAM,132.457
HAM,93.26
HAM,128.727
HAM,93.042
HAM,127.314
HAM,92.161
HAM,129.992
HAM,92.505
HAM,131.156
BEA,106.37
BEA,94.28
BEA,127.784
BEA,116.83
BEA,95.16
BEA,118.686
BEA,93.999
BEA,125.707
BEA,118.129
BEA,93.501
BEA,122.854
BEA,93.409
BEA,126.469
VER,94.5
VER,125.748
VER,94.181
VER,124.607
VER,94.17
VER,120.432
VER,93.564
VER,125.661
VER,97.553
VER,125.053
VER,93.254
VER,121.137
VER,96.396
VER,122.327
HUL,103.4
HUL,93.997
HUL,125.376
HUL,94.159
HUL,122.495
HUL,94.022
HUL,118.633
HUL,108.241
HUL,93.635
HUL,127.984
HUL,93.661
HUL,117.05
GAS,94.52
GAS,124.197
GAS,121.099
GAS,93.97
GAS,126.988
GAS,93.571
GAS,123.598
GAS,123.362
GAS,93.405
GAS,130.013
GAS,92.888
GAS,129.695
LAW,94.722
LAW,115.245
LAW,94.4
LAW,132.042
LAW,94.11
LAW,119.064
LAW,93.914
LAW,114.616
LAW,117.7
LAW,93.714
LAW,119.903
BOR,104.833
BOR,94.646
BOR,123.914
BOR,98.344
BOR,119.614
BOR,94.291
BOR,124.674
BOR,114.784
BOR,93.774
BOR,129.285
BOR,96.574
BOR,129.578
HAD,94.447
HAD,127.048
HAD,94.727
HAD,124.676
HAD,94.476
HAD,119.233
HAD,93.62
HAD,126.555
HAD,94.012
HAD,120.122
HAD,93.723
OCO,107.762
OCO,94.515
OCO,125.229
OCO,119.813
OCO,94.087
OCO,122.053
OCO,93.639
OCO,122.648
OCO,116.818
OCO,93.827
OCO,125.44
COL,95.689
COL,127.337
COL,121.557
COL,94.592
COL,116.831
COL,94.759
COL,128.576
COL,120.559
COL,94.327
COL,121.053
ALB,106.223
ALB,95.305
ALB,133.41
ALB,105.327
ALB,104.546
SAI,110.164
SAI,94.945
SAI,133.658
SAI,94.761
SAI,121.443
ALO,96.172
ALO,118.65
ALO,95.581
ALO,119.854
BOT,109.353
BOT,99.832
BOT,120.771
BOT,97.402
BOT,121.577
BOT,97.378
BOT,123.293
STR,98.378
STR,130.528
STR,96.154
STR,131.075
STR,96.151
STR,127.871
LIN,95.374
LIN,113.562
LIN,95.021
LIN,131.932
LIN,94.495
LIN,116.258
LIN,94.048
LIN,120.827
LIN,113.077
LIN,94.374
LIN,120.089
