Driver,Quali_time,Quali_delta,GridPosition,Sprint_performance_score,Race_pace_norm,Tyre_deg_norm,Team_Pace,Prev_Race_Score,Racecraft,FinalPosition,Race
RUS,78.518,0.0,1,0.0,0.9327812697338068,6.067158212833311,0.935485953923923,0.0,0.0,1.0,Australia
ANT,78.811,0.2930000000000063,2,0.0,0.938190638114039,29.57707571236274,0.935485953923923,0.0,0.0,2.0,Australia
LEC,79.327,0.8089999999999975,4,0.0,1.0,1.0,0.9902491938376368,0.0,0.0,3.0,Australia
HAM,79.478,0.9599999999999936,7,0.0,0.9804983876752736,5.030219468955805,0.9902491938376368,0.0,0.0,4.0,Australia
NOR,79.475,0.9569999999999936,6,0.0,0.9384724295380966,6.884368408437469,0.939894081920848,0.0,0.0,5.0,Australia
LIN,81.247,2.728999999999999,9,0.0,0.995212139257588,7.313755125085221,0.9870837805325748,0.0,0.0,8.0,Australia
LAW,79.994,1.475999999999999,8,0.0,0.9789554218075612,13.42475764608574,0.9870837805325748,0.0,0.0,13.0,Australia
HAD,79.303,0.7849999999999966,3,0.0,0.948681900706794,10.40578635998352,0.948681900706794,0.0,0.0,20.0,Australia
PIA,79.38,0.8619999999999948,5,0.0,0.9413157343035996,9.888301760191572,0.939894081920848,0.0,0.0,21.0,Australia
RUS,92.286,0.2220000000000084,2,1.0,0.9276675753614811,0.5189123804054927,0.9148815962540688,1.0,0.0,1.0,China
ANT,92.064,0.0,1,-4.0,0.9020956171466564,0.2293703438910613,0.9148815962540688,0.5,0.0,2.0,China
LEC,92.428,0.3640000000000043,4,2.0,0.9832283408315926,-0.0553254675674619,0.9725193915966248,0.3333333333333333,1.0,3.0,China
HAM,92.415,0.3510000000000133,3,0.0,0.9618104423616572,-0.2532822791825105,0.9725193915966248,0.25,3.0,4.0,China
NOR,92.608,0.5440000000000111,6,2.0,0.9764381011524867,-0.2285790479305055,0.9741253711963672,0.2,1.0,5.0,China
VER,93.002,0.9380000000000024,8,-1.0,0.9637628913241824,0.1493672438076413,0.9466975386247528,0.05,0.0,6.0,China
BEA,93.197,1.1330000000000098,10,2.0,0.9155030864926712,-0.6334055802426962,0.9577515432463356,0.05,0.0,7.0,China
LIN,93.784,1.720000000000013,16,-6.0,0.0,0.0,0.473461267807662,0.125,1.0,8.0,China
BOR,93.549,1.4850000000000136,14,1.0,0.970725570469572,-0.2400645238558651,0.972346689290821,0.05,0.0,9.0,China
GAS,92.873,0.8090000000000117,7,-4.0,0.9518780382574338,0.4817746526581755,0.9496949718913724,0.05,0.0,10.0,China
OCO,93.538,1.4740000000000038,13,3.0,1.0,0.710927221463155,0.9577515432463356,0.05,0.0,11.0,China
ALB,94.772,2.7080000000000126,18,2.0,0.9833090891499684,-0.0043755721416759,0.9858445657216124,0.05,0.0,12.0,China
LAW,93.765,1.7010000000000076,15,8.0,0.946922535615324,-0.1679996023402689,0.473461267807662,0.0769230769230769,-5.0,13.0,China
COL,93.357,1.2930000000000064,12,-2.0,0.9475119055253112,0.2096038981044045,0.9496949718913724,0.05,0.0,14.0,China
SAI,94.317,2.253,17,5.0,0.988380042293256,0.4019340841574234,0.9858445657216124,0.05,0.0,15.0,China
PER,96.906,4.842000000000013,22,3.0,0.9782937213752696,0.1730778722102149,0.9793912488060724,0.05,0.0,16.0,China
STR,95.995,3.931000000000012,21,3.0,0.9753143868696652,1.0,0.9876511288733036,0.05,0.0,17.0,China
ALO,95.203,3.13900000000001,19,2.0,0.999987870876942,-0.0108372038988884,0.9876511288733036,0.05,0.0,18.0,China
BOT,95.436,3.372000000000014,20,-1.0,0.9804887762368752,-0.011303837787488,0.9793912488060724,0.05,0.0,19.0,China
HAD,93.121,1.0570000000000022,9,-6.0,0.9296321859253232,-0.672201277828197,0.9466975386247528,0.05,-17.0,20.0,China
PIA,92.55,0.4860000000000042,5,-1.0,0.971812641240248,-0.3763630007969765,0.9741253711963672,0.0476190476190476,-16.0,21.0,China
HUL,93.354,1.2900000000000065,11,-9.0,0.97396780811207,-0.00130085496842,0.972346689290821,0.05,0.0,22.0,China
