Driver,Quali_time,Quali_delta,GridPosition,Sprint_performance_score,Race_pace_norm,Tyre_deg_norm,Team_Pace,Prev_Race_Score,Racecraft,FinalPosition,Race
ANT,88.778,0.0,1,0.0,0.5,0.36363636363636365,0.34090909090909094,1.0,0.0,1.0,Japan
RUS,89.076,0.2979999999999876,2,0.0,0.18181818181818182,0.7272727272727273,0.34090909090909094,0.25,1.0,4.0,Japan
PIA,89.132,0.3539999999999992,3,0.0,0.7272727272727273,0.13636363636363635,0.4090909090909091,0.3333333333333333,4.0,2.0,Japan
LEC,89.303,0.5249999999999915,4,0.0,0.8636363636363636,0.09090909090909091,0.45454545454545453,0.125,-5.0,3.0,Japan
NOR,89.409,0.6310000000000002,5,0.0,0.09090909090909091,0.5909090909090909,0.4090909090909091,0.5,2.0,5.0,Japan
HAM,89.567,0.7889999999999873,6,0.0,0.045454545454545456,0.5909090909090909,0.45454545454545453,0.16666666666666666,0.0,6.0,Japan
GAS,89.691,0.9129999999999967,7,0.0,0.45454545454545453,0.9090909090909091,0.3409090909090909,0.047619047619047616,-11.0,7.0,Japan
HAD,89.978,1.1999999999999886,8,0.0,0.5909090909090909,0.8181818181818182,0.4772727272727273,0.045454545454545456,-13.0,12.0,Japan
BOR,89.99,1.211999999999989,9,0.0,0.4090909090909091,0.045454545454545456,0.4772727272727273,0.08333333333333333,10.0,13.0,Japan
LIN,90.109,1.3309999999999889,10,0.0,0.9545454545454546,1.0,0.7954545454545454,0.07142857142857142,3.0,14.0,Japan
VER,90.262,1.4839999999999947,11,0.0,0.36363636363636365,0.4090909090909091,0.4772727272727273,0.2,-3.0,8.0,Japan
OCO,90.309,1.5309999999999917,12,0.0,0.2727272727272727,0.5,0.2954545454545454,0.07692307692307693,3.0,10.0,Japan
HUL,90.358,1.5799999999999983,13,0.0,0.5454545454545454,0.2727272727272727,0.4772727272727273,0.05263157894736842,-7.0,11.0,Japan
LAW,90.495,1.7169999999999987,14,0.0,0.6363636363636364,0.8636363636363636,0.7954545454545454,0.05,-7.0,9.0,Japan
COL,90.627,1.8489999999999895,15,0.0,0.22727272727272727,0.3181818181818182,0.3409090909090909,0.14285714285714285,1.0,16.0,Japan
SAI,90.927,2.149000000000001,16,0.0,0.6818181818181818,0.22727272727272727,0.7272727272727273,0.1111111111111111,5.0,15.0,Japan
ALB,91.088,2.309999999999988,17,0.0,0.7727272727272727,0.9545454545454546,0.7272727272727273,0.1,5.0,20.0,Japan
BEA,91.09,2.3119999999999976,18,0.0,0.3181818181818182,0.7727272727272727,0.2954545454545454,0.09090909090909091,0.0,22.0,Japan
PER,92.206,3.4279999999999973,19,0.0,0.9090909090909091,0.45454545454545453,0.8636363636363636,0.0625,5.0,17.0,Japan
BOT,92.33,3.5519999999999925,20,0.0,0.8181818181818182,0.6818181818181818,0.8636363636363636,0.05555555555555555,2.0,19.0,Japan
ALO,92.646,3.867999999999995,21,0.0,1.0,0.18181818181818182,0.5681818181818181,0.06666666666666667,3.0,18.0,Japan
STR,92.92,4.141999999999996,22,0.0,0.13636363636363635,0.5909090909090909,0.5681818181818181,0.058823529411764705,2.0,21.0,Japan
