Driver,LapTime
NOR,91.463
NOR,132.7
NOR,91.094
NOR,134.177
NOR,98.138
NOR,90.6
NOR,147.254
NOR,90.684
NOR,119.001
NOR,125.558
VER,91.556
VER,129.128
VER,132.413
VER,91.354
VER,124.122
VER,91.397
VER,114.666
VER,119.664
VER,92.932
VER,92.937
VER,93.626
VER,95.976
VER,90.91
VER,115.887
VER,141.832
VER,90.933
VER,108.774
VER,115.703
VER,144.833
BOR,92.151
BOR,137.682
BOR,91.573
BOR,119.014
BOR,137.034
BOR,91.501
BOR,120.626
BOR,91.101
BOR,119.142
BOR,97.041
BOR,147.753
BOR,91.0
BOR,137.05
BOR,122.243
BOR,91.067
BOR,117.526
BOR,118.866
BOR,147.535
HAD,92.186
HAD,135.138
HAD,91.697
HAD,131.995
HAD,91.524
HAD,110.566
HAD,93.997
HAD,93.522
HAD,93.313
HAD,96.644
HAD,97.783
HAD,91.094
HAD,128.654
HAD,114.147
HAD,118.98
HAD,111.715
HAD,103.941
HAD,124.168
HAD,146.529
GAS,92.86
GAS,144.243
GAS,92.251
GAS,147.088
GAS,91.562
GAS,126.793
GAS,100.71
GAS,103.096
GAS,91.125
GAS,147.17
GAS,120.025
GAS,91.082
GAS,139.341
GAS,91.576
GAS,130.54
GAS,145.867
PER,106.348
PER,121.197
PER,93.324
PER,95.946
PER,146.278
PER,93.348
PER,138.356
PER,101.43
PER,92.54
PER,141.99
PER,117.758
PER,92.658
PER,132.411
ANT,90.418
ANT,125.826
ANT,90.436
ANT,139.064
ANT,133.497
ANT,89.929
ANT,105.139
ANT,89.362
ANT,124.014
ANT,89.513
ANT,125.308
ANT,128.936
ALO,94.344
ALO,130.246
ALO,94.418
ALO,130.327
ALO,94.52
ALO,116.773
ALO,93.529
ALO,121.47
ALO,116.258
ALO,103.167
ALO,143.21
LEC,91.018
LEC,90.536
LEC,146.359
LEC,90.229
LEC,131.871
LEC,135.068
LEC,122.846
LEC,105.916
LEC,90.305
LEC,102.251
LEC,106.051
LEC,142.649
LEC,90.491
LEC,118.211
LEC,119.386
LEC,135.21
STR,95.516
STR,142.333
STR,94.691
STR,144.22
STR,94.507
STR,121.356
STR,94.411
STR,113.146
STR,93.485
STR,137.509
STR,93.548
STR,143.0
STR,93.724
STR,142.953
ALB,92.305
ALB,141.547
ALB,117.333
ALB,92.396
ALB,127.232
ALB,114.637
ALB,92.139
ALB,114.932
ALB,92.022
ALB,143.157
ALB,119.671
ALB,91.733
ALB,133.719
ALB,111.015
ALB,92.336
ALB,134.672
ALB,111.088
ALB,144.233
HUL,92.321
HUL,128.794
HUL,92.199
HUL,136.556
HUL,91.727
HUL,120.323
HUL,116.436
HUL,91.326
HUL,116.891
HUL,90.658
HUL,136.602
HUL,90.981
HUL,131.537
HUL,90.817
HUL,121.307
HUL,129.36
HUL,135.636
LAW,91.818
LAW,145.207
LAW,91.781
LAW,126.837
LAW,122.845
LAW,91.391
LAW,129.467
LAW,116.684
LAW,91.38
LAW,117.966
LAW,139.165
LAW,94.886
LAW,95.996
LAW,104.12
LAW,128.382
LAW,91.097
LAW,142.197
LAW,127.637
LAW,147.024
OCO,93.573
OCO,120.04
OCO,92.779
OCO,133.943
OCO,92.369
OCO,127.409
OCO,91.718
OCO,116.122
OCO,96.264
OCO,129.972
OCO,116.28
OCO,91.634
OCO,127.067
OCO,146.09
OCO,91.326
OCO,108.835
OCO,126.798
LIN,92.754
LIN,91.59
LIN,127.854
LIN,121.612
LIN,91.288
LIN,105.711
LIN,141.505
LIN,112.793
LIN,91.921
LIN,121.865
LIN,91.518
LIN,114.023
COL,93.665
COL,93.147
COL,92.349
COL,123.223
COL,92.334
COL,125.853
COL,94.654
COL,95.018
COL,94.772
COL,95.117
COL,95.076
COL,96.726
COL,97.811
COL,91.854
COL,141.651
COL,126.869
COL,91.759
COL,124.752
COL,142.945
HAM,92.283
HAM,91.056
HAM,145.711
HAM,90.874
HAM,146.565
HAM,90.747
HAM,130.54
HAM,119.599
HAM,90.946
HAM,103.507
HAM,90.811
HAM,119.127
HAM,90.383
HAM,117.293
HAM,103.865
HAM,145.066
HAM,141.315
SAI,92.891
SAI,138.221
SAI,92.02
SAI,137.939
SAI,97.709
SAI,134.527
SAI,92.377
SAI,121.428
SAI,94.591
SAI,94.481
SAI,94.701
SAI,94.609
SAI,94.152
SAI,95.18
SAI,101.038
SAI,91.829
SAI,131.656
SAI,114.913
SAI,92.118
SAI,132.224
SAI,146.32
SAI,118.289
SAI,145.362
RUS,90.545
RUS,145.33
RUS,90.395
RUS,128.597
RUS,109.08
RUS,89.918
RUS,113.851
RUS,89.616
RUS,134.0
RUS,89.694
RUS,127.816
RUS,136.128
RUS,149.671
BOT,94.709
BOT,126.149
BOT,93.9
BOT,135.519
BOT,94.347
BOT,121.27
BOT,148.683
BOT,93.635
BOT,106.743
BOT,145.436
BOT,92.503
BOT,140.799
BOT,120.053
BOT,92.695
BOT,123.945
BOT,141.462
PIA,91.185
PIA,129.649
PIA,90.801
PIA,127.938
PIA,90.6
PIA,123.08
PIA,144.974
PIA,90.364
PIA,128.715
PIA,90.492
PIA,126.032
PIA,90.452
PIA,111.843
PIA,123.609
PIA,148.449
BEA,93.024
BEA,92.378
BEA,91.953
BEA,91.558
BEA,122.554
BEA,120.173
BEA,91.974
BEA,91.937
BEA,111.51
