Driver,FP1_avg,FP2_avg,FP3_avg
ALB,111.63425,106.66658333333334,114.78705555555555
ALO,,108.58126315789472,112.56927272727272
ANT,107.66114285714286,103.38847368421052,110.9535
BEA,107.29090476190476,102.40295238095239,100.78455555555556
BOR,104.68213636363636,119.58525,114.99472222222221
BOT,109.39795,109.386375,116.9905
COL,104.70815789473684,104.7570909090909,105.7671052631579
CRA,113.36587499999999,,
GAS,110.00495000000001,106.52866666666667,115.9580625
HAD,111.24878260869563,106.24395652173912,108.82068421052631
HAM,108.3018125,104.465,112.33458823529412
HUL,106.86365,104.90504545454546,112.55711764705882
LAW,108.27,107.31854166666666,115.57263157894738
LEC,110.45361904761904,107.62204347826086,113.6498125
LIN,109.77168,,108.70283333333333
NOR,105.96870588235295,108.70558333333334,112.06689999999999
OCO,107.79927777777777,104.67620833333332,111.89523529411765
PER,109.4546,106.5436,113.35261538461539
PIA,111.43405,105.41195833333335,113.87886666666667
RUS,106.16123809523809,107.93104545454547,114.97238461538463
SAI,110.9569090909091,105.21716666666667,110.80760869565216
STR,115.60117647058824,114.29,114.59992857142856
VER,105.06065217391304,103.80241666666666,109.40226315789474
