Driver,LapTime
ANT,90.035
ANT,116.306
ANT,89.774
ANT,107.772
ANT,89.048
ANT,112.223
ANT,88.778
ANT,105.679
ANT,88.839
ANT,116.462
RUS,90.631
RUS,120.217
RUS,89.967
RUS,119.68
RUS,90.117
RUS,112.666
RUS,89.767
RUS,124.89
RUS,121.576
RUS,89.686
RUS,105.164
RUS,89.076
RUS,108.956
RUS,89.195
RUS,127.357
PIA,90.438
PIA,122.498
PIA,90.324
PIA,117.95
PIA,90.2
PIA,113.098
PIA,89.451
PIA,115.399
PIA,89.829
PIA,114.579
PIA,89.132
PIA,112.345
PIA,89.198
PIA,118.545
LEC,90.078
LEC,121.896
LEC,111.805
LEC,89.915
LEC,115.344
LEC,89.785
LEC,111.384
LEC,89.303
LEC,117.955
LEC,89.434
LEC,108.378
LEC,89.405
NOR,90.676
NOR,120.425
NOR,90.401
NOR,114.852
NOR,90.534
NOR,116.497
NOR,89.795
NOR,113.456
NOR,90.101
NOR,117.191
NOR,89.409
NOR,109.25
NOR,89.757
NOR,118.844
HAM,90.628
HAM,125.792
HAM,113.774
HAM,90.309
HAM,112.338
HAM,90.118
HAM,112.847
HAM,89.945
HAM,131.496
HAM,89.589
HAM,108.018
HAM,89.567
HAM,107.554
HAM,89.66
HAM,127.915
GAS,90.765
GAS,122.647
GAS,90.584
GAS,121.556
GAS,90.122
GAS,120.549
GAS,89.874
GAS,122.368
GAS,90.294
GAS,115.744
GAS,89.691
GAS,126.348
HAD,90.662
HAD,112.79
HAD,90.822
HAD,109.553
HAD,90.339
HAD,113.488
HAD,90.104
HAD,115.17
HAD,89.978
HAD,104.345
HAD,116.688
BOR,90.752
BOR,124.942
BOR,90.966
BOR,112.622
BOR,90.359
BOR,123.449
BOR,90.093
BOR,115.103
BOR,89.99
BOR,122.242
BOR,90.648
BOR,113.859
BOR,90.274
BOR,130.539
LIN,91.634
LIN,116.452
LIN,124.221
LIN,91.0
LIN,110.123
LIN,90.781
LIN,115.691
LIN,90.694
LIN,109.975
LIN,90.109
LIN,114.558
LIN,91.537
LIN,106.227
LIN,90.319
LIN,122.799
VER,90.726
VER,111.528
VER,90.519
VER,108.449
VER,90.363
VER,110.239
VER,90.262
VER,114.536
OCO,91.466
OCO,120.726
OCO,120.288
OCO,91.196
OCO,110.464
OCO,90.915
OCO,119.851
OCO,90.466
OCO,115.519
OCO,90.309
OCO,120.234
HUL,90.843
HUL,120.871
HUL,90.542
HUL,110.347
HUL,90.358
HUL,116.882
HUL,90.412
HUL,105.58
HUL,90.387
HUL,109.294
LAW,91.785
LAW,119.924
LAW,122.71
LAW,91.048
LAW,118.745
LAW,90.657
LAW,114.454
LAW,91.004
LAW,107.939
LAW,90.495
LAW,114.804
COL,91.458
COL,113.216
COL,90.931
COL,114.878
COL,90.877
COL,107.09
COL,90.627
COL,110.782
SAI,91.855
SAI,110.289
SAI,148.017
SAI,91.676
SAI,114.424
SAI,90.927
SAI,117.782
SAI,91.408
SAI,108.433
SAI,91.033
SAI,121.633
ALB,91.776
ALB,108.46
ALB,147.199
ALB,91.51
ALB,109.15
ALB,91.088
ALB,121.366
BEA,92.016
BEA,125.17
BEA,125.275
BEA,91.421
BEA,110.777
BEA,91.09
BEA,124.88
PER,92.788
PER,110.838
PER,92.206
PER,122.333
BOT,93.028
BOT,117.839
BOT,92.598
BOT,105.593
BOT,92.33
BOT,114.42
ALO,93.846
ALO,106.995
ALO,93.392
ALO,111.784
ALO,92.646
ALO,119.031
STR,94.408
STR,110.368
STR,92.92
STR,114.517
STR,93.333
STR,115.153
