Driver,Quali_time,Quali_delta,GridPosition,Sprint_performance_score,Race_pace_norm,Tyre_deg_norm,Pace_Stability,Team_Pace,Prev_Race_Score,Racecraft,FinalPosition,Race
ANT,87.798,0.0,1,-4.0,0.8999409437861984,0.22809121387654974,0.0,0.900674873717398,1.0,0.0,1.0,Miami
VER,87.964,0.16599999999999682,2,0.0,0.9042469432000244,-0.22558135277442343,0.0,0.9086048827245421,0.0625,-8.0,5.0,Miami
LEC,88.143,0.34499999999999886,3,1.0,0.9009916018948592,0.38841982806497105,0.0,0.9028369225258587,0.25,0.0,8.0,Miami
NOR,88.183,0.3850000000000051,4,0.0,0.9008777134505667,0.25042687310848455,0.0,0.907819519509324,0.05,-14.0,2.0,Miami
RUS,88.197,0.3990000000000009,5,2.0,0.9014088036485977,0.3487410034504134,0.0,0.900674873717398,0.5,0.0,4.0,Miami
HAM,88.319,0.5210000000000008,6,0.0,0.9046822431568582,0.24969248891137644,0.0,0.9028369225258587,0.3333333333333333,0.0,6.0,Miami
PIA,88.332,0.5339999999999918,7,1.0,0.9147613255680814,0.45660900465353765,0.0,0.907819519509324,0.05263157894736842,-14.0,3.0,Miami
COL,88.762,0.9639999999999986,8,-2.0,0.9146294736467709,0.5535915054894127,0.0,0.9181296571436888,0.1,2.0,7.0,Miami
HAD,88.789,0.9909999999999997,9,0.0,0.9129628222490598,-0.2701684819443417,0.0,0.9086048827245421,0.125,1.0,22.0,Miami
GAS,88.81,1.0120000000000005,10,2.0,0.9216298406406065,-0.37963360173968486,0.0,0.9181296571436888,0.16666666666666666,1.0,21.0,Miami
BEA,89.34,1.5420000000000016,11,1.0,0.9199646263210566,0.07469398806088008,0.0,0.919828822434802,0.2,5.0,11.0,Miami
HUL,89.439,1.6409999999999911,12,-8.0,0.950048171827235,1.0,0.0,0.9413041988614004,0.09090909090909091,0.0,19.0,Miami
LAW,89.499,1.7009999999999934,13,3.0,0.942154657992463,0.4913439694183685,0.0,0.9710773289962316,0.14285714285714285,8.0,20.0,Miami
SAI,89.54,1.7420000000000044,14,2.0,0.9237733433138411,0.22139800308200705,0.0,0.9289465947624607,0.1111111111111111,8.0,9.0,Miami
ALB,89.72,1.921999999999997,15,-4.0,0.9341198462110804,-0.3713575669124186,0.0,0.9289465947624607,0.045454545454545456,-4.0,10.0,Miami
OCO,89.772,1.9740000000000038,16,7.0,0.9196930185485475,0.48848119449195676,0.0,0.919828822434802,0.07142857142857142,-1.0,13.0,Miami
LIN,90.133,2.3349999999999937,17,-5.0,1.0,0.13687156796188227,0.0,0.9710773289962316,0.08333333333333333,4.0,14.0,Miami
ALO,91.098,3.299999999999997,18,6.0,0.9461032368209602,-0.6844090384298094,0.0,0.9387046676580966,0.058823529411764705,2.0,15.0,Miami
STR,91.164,3.3659999999999997,19,5.0,0.9313060984952328,-0.7245337242535225,0.0,0.9387046676580966,0.05555555555555555,3.0,17.0,Miami
BOT,91.629,3.831000000000003,20,1.0,0.9395760571000514,0.2778475124103531,0.0,0.9368898835433476,0.07692307692307693,7.0,18.0,Miami
PER,91.967,4.168999999999997,21,3.0,0.9342037099866437,-0.4519331451823671,0.0,0.9368898835433476,0.05,0.0,16.0,Miami
BOR,93.737,5.938999999999993,22,-11.0,0.9325602258955659,-0.811704070806532,0.0,0.9413041988614004,0.047619047619047616,-7.0,12.0,Miami
