Driver,LapTime
NOR,91.941
NOR,90.688
NOR,90.849
NOR,90.335
NOR,115.264
NOR,118.827
NOR,125.5
NOR,90.208
NOR,135.248
NOR,92.427
NOR,124.252
NOR,93.245
NOR,94.26
NOR,94.628
NOR,94.9
NOR,94.117
NOR,94.125
NOR,94.397
NOR,94.691
NOR,103.089
NOR,94.439
NOR,132.72
NOR,125.686
NOR,131.048
NOR,90.309
NOR,138.942
VER,92.022
VER,141.467
VER,91.709
VER,143.408
VER,91.047
VER,107.762
VER,90.465
VER,126.682
VER,131.156
VER,90.561
VER,112.234
VER,93.256
VER,93.189
VER,94.415
VER,93.572
VER,93.648
VER,93.928
VER,93.905
VER,93.836
VER,93.748
VER,93.564
VER,94.236
VER,93.728
VER,93.983
VER,93.62
VER,93.638
VER,107.872
VER,89.776
VER,127.737
VER,123.857
VER,89.607
VER,141.422
VER,135.041
VER,120.966
VER,124.94
BOR,101.33
BOR,93.931
BOR,124.836
BOR,114.117
BOR,107.972
BOR,93.941
BOR,128.936
BOR,93.533
BOR,130.963
BOR,92.868
BOR,120.068
BOR,92.906
BOR,111.451
BOR,92.698
BOR,124.11
BOR,112.767
BOR,91.622
BOR,126.847
BOR,91.111
BOR,147.525
BOR,92.2
BOR,143.111
BOR,142.641
HAD,92.728
HAD,92.301
HAD,146.682
HAD,91.838
HAD,126.79
HAD,91.587
HAD,143.376
HAD,120.381
HAD,91.572
HAD,116.056
HAD,95.284
HAD,94.431
HAD,94.317
HAD,94.418
HAD,94.395
HAD,95.185
HAD,96.833
HAD,95.145
HAD,94.82
HAD,95.22
HAD,94.32
HAD,94.707
HAD,94.52
HAD,94.387
HAD,101.039
HAD,91.039
HAD,139.353
HAD,149.739
HAD,90.873
HAD,112.014
HAD,138.636
HAD,139.65
GAS,92.753
GAS,91.676
GAS,121.9
GAS,91.822
GAS,137.33
GAS,126.819
GAS,123.879
GAS,111.06
GAS,91.961
GAS,142.971
GAS,111.554
GAS,91.241
GAS,129.621
GAS,113.258
GAS,95.382
GAS,93.915
GAS,93.822
GAS,93.968
GAS,94.12
GAS,104.905
GAS,123.683
GAS,91.22
GAS,90.587
GAS,122.178
GAS,136.822
PER,94.811
PER,120.46
PER,93.893
