Driver,LapTime
ANT,89.158
ANT,124.672
ANT,88.653
ANT,117.406
ANT,88.352
ANT,109.868
ANT,88.289
ANT,155.972
ANT,87.798
ANT,108.971
VER,89.099
VER,108.451
VER,88.931
VER,112.631
VER,88.116
VER,107.818
VER,88.181
VER,108.0
VER,87.964
LEC,89.436
LEC,116.394
LEC,97.594
LEC,128.157
LEC,125.72
LEC,88.938
LEC,125.19
LEC,88.542
LEC,117.87
LEC,88.315
LEC,126.99
LEC,88.143
LEC,119.088
LEC,88.203
NOR,89.183
NOR,149.268
NOR,89.809
NOR,145.625
NOR,100.95
NOR,89.04
NOR,124.485
NOR,127.721
NOR,88.92
NOR,117.237
NOR,88.183
NOR,118.039
NOR,88.527
RUS,90.076
RUS,121.583
RUS,89.492
RUS,146.439
RUS,88.477
RUS,114.422
RUS,88.822
RUS,114.494
RUS,88.197
RUS,106.727
RUS,88.367
HAM,89.51
HAM,119.607
HAM,89.483
HAM,123.605
HAM,141.565
HAM,90.6
HAM,121.013
HAM,88.477
HAM,146.67
HAM,88.83
HAM,122.164
HAM,88.376
HAM,120.559
HAM,88.319
PIA,90.04
PIA,90.066
PIA,133.107
PIA,89.92
PIA,88.902
PIA,88.332
PIA,134.884
PIA,88.687
PIA,143.625
PIA,88.5
COL,97.067
COL,89.917
COL,130.089
COL,136.95
COL,89.584
COL,116.988
COL,88.975
COL,119.516
COL,89.123
COL,123.328
COL,88.762
COL,112.069
GAS,103.256
GAS,90.092
GAS,125.59
GAS,132.59
GAS,89.914
GAS,126.842
GAS,89.161
GAS,126.417
GAS,89.07
GAS,129.452
GAS,88.988
GAS,123.008
GAS,88.81
HUL,91.503
HUL,140.248
HUL,89.645
HUL,115.162
HUL,104.841
HUL,89.915
HUL,116.234
HUL,89.439
HUL,123.45
LAW,96.044
LAW,89.909
LAW,114.981
LAW,89.595
LAW,116.101
LAW,89.583
LAW,89.499
LAW,128.02
BEA,90.203
BEA,115.504
BEA,89.34
BEA,117.187
BEA,90.022
BEA,119.814
BEA,89.567
BEA,122.916
SAI,92.426
SAI,117.924
SAI,146.324
SAI,90.21
SAI,115.738
SAI,89.54
SAI,116.705
SAI,90.224
SAI,118.056
SAI,89.568
SAI,120.206
OCO,90.783
OCO,113.371
OCO,90.293
OCO,89.838
OCO,120.809
OCO,89.911
OCO,122.969
OCO,89.772
OCO,124.091
ALB,102.439
ALB,106.414
ALB,132.423
ALB,90.143
ALB,110.992
ALB,89.72
ALB,116.189
ALB,90.129
ALB,115.166
ALB,89.946
LIN,91.276
LIN,108.079
LIN,135.522
LIN,90.341
LIN,147.065
LIN,90.133
LIN,123.308
ALO,91.661
ALO,114.768
ALO,91.098
ALO,112.461
ALO,98.137
STR,92.308
STR,111.932
STR,91.164
STR,117.054
STR,91.389
BOT,92.698
BOT,92.36
BOT,112.401
BOT,91.629
BOT,127.65
PER,92.103
PER,116.236
PER,98.224
PER,114.384
PER,91.967
PER,131.008
BOR,93.737
HAD,89.978
HAD,114.024
HAD,89.863
HAD,121.785
HAD,121.135
HAD,89.324
HAD,108.441
HAD,88.941
HAD,89.259
HAD,116.909
HAD,88.789
HAD,112.369
HAD,89.302
