Driver,LapTime
NOR,92.574
NOR,92.183
NOR,92.6
NOR,92.585
NOR,91.929
NOR,92.146
NOR,92.244
NOR,92.426
NOR,91.885
NOR,91.941
NOR,92.193
NOR,92.499
NOR,92.351
NOR,92.307
NOR,92.16
NOR,92.018
NOR,92.133
NOR,92.914
PIA,92.773
PIA,92.527
PIA,92.593
PIA,92.534
PIA,92.44
PIA,92.228
PIA,92.479
PIA,92.434
PIA,92.299
PIA,92.284
PIA,92.231
PIA,92.554
PIA,92.378
PIA,92.518
PIA,92.079
PIA,92.836
PIA,92.295
PIA,92.36
LEC,92.767
LEC,92.704
LEC,93.067
LEC,92.488
LEC,92.236
LEC,92.204
LEC,92.421
LEC,92.43
LEC,92.285
LEC,91.964
LEC,92.302
LEC,92.412
LEC,92.461
LEC,92.163
LEC,92.746
LEC,92.402
LEC,93.079
LEC,93.25
RUS,93.046
RUS,92.658
RUS,92.829
RUS,92.748
RUS,92.609
RUS,92.476
RUS,94.285
RUS,92.641
RUS,92.387
RUS,92.405
RUS,92.906
RUS,92.993
RUS,92.541
RUS,92.847
RUS,92.727
RUS,93.731
RUS,92.492
RUS,92.425
VER,93.225
VER,92.914
VER,93.16
VER,92.673
VER,92.479
VER,92.741
VER,95.68
VER,92.868
VER,92.572
VER,92.385
VER,92.327
VER,92.827
VER,92.319
VER,92.988
VER,92.369
VER,92.447
VER,92.236
VER,92.201
ANT,93.273
ANT,92.645
ANT,92.693
ANT,92.918
ANT,92.496
ANT,93.213
ANT,93.506
ANT,92.592
ANT,92.268
ANT,91.932
ANT,92.443
ANT,92.561
ANT,92.327
ANT,92.58
ANT,92.551
ANT,92.778
ANT,92.317
ANT,92.24
HAM,92.522
HAM,92.642
HAM,93.043
HAM,92.692
HAM,92.448
HAM,92.896
HAM,96.211
HAM,93.687
HAM,92.914
HAM,92.593
HAM,92.858
HAM,92.861
HAM,93.206
HAM,93.475
HAM,93.173
HAM,93.533
HAM,93.768
HAM,93.926
GAS,93.422
GAS,93.669
GAS,94.252
GAS,93.585
GAS,93.192
GAS,93.329
GAS,93.747
GAS,93.36
GAS,93.072
GAS,93.194
GAS,93.334
GAS,94.062
GAS,94.051
GAS,93.941
GAS,93.947
GAS,94.274
GAS,94.065
GAS,93.66
HAD,94.607
HAD,93.923
HAD,94.301
HAD,94.096
HAD,93.689
HAD,93.547
HAD,93.725
HAD,93.261
HAD,93.119
HAD,93.195
HAD,93.628
HAD,93.683
HAD,93.573
HAD,94.656
HAD,93.836
HAD,94.479
HAD,93.729
HAD,93.776
COL,93.687
COL,94.651
COL,94.412
COL,93.959
COL,93.139
COL,93.291
COL,93.693
COL,93.94
COL,93.634
COL,93.438
COL,94.082
COL,93.787
COL,93.868
COL,94.313
COL,94.155
COL,95.777
COL,94.1
COL,94.124
OCO,95.291
OCO,94.596
OCO,94.897
OCO,94.669
OCO,94.409
OCO,94.729
OCO,94.892
OCO,94.613
OCO,94.765
OCO,95.143
OCO,95.312
OCO,95.282
OCO,95.236
OCO,95.191
OCO,95.152
OCO,94.897
OCO,95.118
OCO,95.185
BEA,95.256
BEA,94.53
BEA,94.752
BEA,94.88
BEA,94.524
BEA,94.841
BEA,94.681
BEA,94.665
BEA,95.052
BEA,95.197
BEA,96.588
BEA,95.355
BEA,95.083
BEA,95.151
BEA,95.143
BEA,94.98
BEA,95.02
BEA,94.921
SAI,95.817
SAI,94.726
SAI,94.642
SAI,94.008
SAI,94.066
SAI,94.653
SAI,94.924
SAI,94.81
SAI,94.54
SAI,95.75
SAI,95.128
SAI,95.534
SAI,95.458
SAI,94.956
SAI,95.33
SAI,94.977
SAI,95.218
SAI,95.04
LAW,97.515
LAW,96.986
LAW,96.545
LAW,94.952
LAW,94.346
LAW,94.917
LAW,95.544
LAW,95.613
LAW,94.204
LAW,94.474
LAW,94.321
LAW,94.266
LAW,94.421
LAW,94.398
LAW,94.398
LAW,94.285
LAW,94.676
LAW,95.412
ALO,96.086
ALO,96.412
ALO,97.334
ALO,96.945
ALO,95.622
ALO,95.263
ALO,96.071
ALO,95.524
ALO,95.292
ALO,94.72
ALO,95.012
ALO,95.073
ALO,96.219
ALO,96.268
ALO,95.315
ALO,96.037
ALO,96.592
ALO,95.146
PER,96.521
PER,95.576
PER,95.755
PER,95.792
PER,95.015
PER,95.476
PER,95.649
PER,97.379
PER,96.001
PER,95.718
PER,95.908
PER,95.994
PER,96.514
PER,95.793
PER,95.673
PER,96.831
PER,96.359
PER,96.168
STR,97.177
STR,96.4
STR,96.689
STR,95.99
STR,95.886
STR,95.753
STR,95.875
STR,95.294
STR,95.009
STR,95.046
STR,95.082
STR,95.492
STR,96.211
STR,95.782
STR,95.892
STR,96.705
STR,97.215
STR,95.578
ALB,96.393
ALB,96.115
ALB,94.979
ALB,94.682
ALB,94.382
ALB,94.136
ALB,93.854
ALB,93.968
ALB,94.052
ALB,95.096
ALB,95.321
ALB,100.887
ALB,127.11
ALB,93.57
ALB,93.489
ALB,93.514
ALB,93.473
ALB,93.663
BOT,96.595
BOT,96.641
BOT,96.621
BOT,96.234
BOT,96.098
BOT,97.206
BOT,97.208
BOT,96.502
BOT,95.856
BOT,96.399
BOT,96.755
BOT,96.941
BOT,97.287
BOT,96.873
BOT,96.477
BOT,96.765
BOT,96.463
BOT,96.861
BOR,94.398
BOR,94.266
BOR,95.357
BOR,94.706
BOR,94.94
BOR,95.143
BOR,94.174
BOR,94.507
BOR,94.334
BOR,94.444
BOR,94.46
BOR,94.5
BOR,94.394
BOR,94.714
BOR,94.635
BOR,94.399
BOR,94.745
BOR,94.421
