Driver,LapTime
LEC,89.29
LEC,120.735
LEC,123.388
LEC,88.733
LEC,116.499
LEC,88.47
LEC,123.164
LEC,125.751
LEC,88.333
LEC,125.795
LEC,88.239
VER,89.801
VER,126.357
VER,89.093
VER,121.497
VER,125.807
VER,89.192
VER,112.048
VER,88.461
PIA,96.377
PIA,126.613
PIA,89.169
PIA,163.955
PIA,88.506
PIA,129.049
PIA,88.108
HAM,89.642
HAM,122.77
HAM,123.918
HAM,89.255
HAM,117.252
HAM,88.841
HAM,123.134
HAM,126.647
HAM,89.101
HAM,120.168
HAM,88.618
ANT,89.312
ANT,131.239
ANT,116.298
ANT,89.242
ANT,132.174
ANT,89.209
ANT,114.799
ANT,88.091
RUS,90.465
RUS,133.201
RUS,137.013
RUS,89.659
RUS,122.257
RUS,88.903
RUS,89.41
RUS,119.905
RUS,88.493
NOR,99.706
NOR,121.158
NOR,88.723
NOR,132.839
NOR,88.806
NOR,123.597
NOR,89.366
NOR,121.662
NOR,131.217
NOR,105.98
NOR,87.869
GAS,90.183
GAS,123.746
GAS,131.522
GAS,89.984
GAS,124.979
GAS,89.973
GAS,125.562
GAS,124.462
GAS,90.232
GAS,119.957
GAS,89.474
HAD,91.055
HAD,124.682
HAD,117.768
HAD,90.352
HAD,120.636
HAD,89.75
HAD,124.081
HAD,115.532
HAD,90.013
HAD,117.402
HAD,89.422
SAI,90.987
SAI,124.529
SAI,132.149
SAI,91.094
SAI,118.603
SAI,90.224
SAI,125.016
SAI,126.603
SAI,90.262
SAI,122.309
COL,96.665
COL,129.457
COL,124.407
COL,90.386
COL,127.459
COL,89.527
COL,127.707
COL,126.662
COL,90.16
COL,116.402
COL,89.32
ALB,91.322
ALB,133.006
ALB,128.427
ALB,90.988
ALB,121.391
ALB,90.216
ALB,126.197
ALB,129.425
ALB,91.003
ALB,120.61
BEA,90.843
BEA,137.982
BEA,90.614
BEA,124.593
BEA,90.116
BEA,126.721
BOR,90.725
BOR,124.418
BOR,139.939
BOR,90.561
BOR,123.5
BOR,89.994
BOR,127.568
BOR,90.46
BOR,130.141
HUL,91.204
HUL,119.596
HUL,122.599
HUL,90.27
HUL,111.434
HUL,90.019
HUL,128.429
HUL,90.613
HUL,157.335
OCO,91.258
OCO,127.387
OCO,91.245
OCO,123.479
LAW,115.838
LAW,91.043
LAW,119.449
PER,91.255
PER,153.64
ALO,101.311
ALO,123.159
ALO,92.49
ALO,131.963
ALO,108.22
BOT,92.317
BOT,91.826
LIN,97.819
LIN,119.462
LIN,90.872
LIN,115.988
LIN,90.573
LIN,160.988
STR,129.082
STR,121.708
