Driver,Quali_time,Quali_delta,GridPosition,Sprint_performance_score,Race_pace_norm,Tyre_deg_norm,Team_Pace,Prev_Race_Score,Racecraft,FinalPosition,Race
ANT,72.051,0.0,1,0.0,0.2727272727272727,0.9090909090909091,0.5,1.0,0.0,1.0,Monaco
VER,72.094,0.042999999999992156,2,0.0,0.045454545454545456,0.45454545454545453,0.11363636363636365,0.2,-3.0,22.0,Monaco
HAM,72.279,0.22799999999999443,3,0.0,0.7727272727272727,0.09090909090909091,0.4318181818181818,0.16666666666666666,0.0,2.0,Monaco
LEC,72.351,0.29999999999999716,4,0.0,0.09090909090909091,0.13636363636363635,0.4318181818181818,0.125,-5.0,17.0,Monaco
HAD,72.434,0.38299999999999557,5,0.0,0.18181818181818182,0.6818181818181818,0.11363636363636365,0.045454545454545456,-13.0,4.0,Monaco
RUS,72.445,0.39399999999999125,6,0.0,0.7272727272727273,0.4090909090909091,0.5,0.25,1.0,12.0,Monaco
PIA,72.624,0.5729999999999933,7,0.0,0.4090909090909091,0.5,0.2727272727272727,0.3333333333333333,4.0,5.0,Monaco
NOR,72.765,0.7139999999999986,8,0.0,0.13636363636363635,0.5909090909090909,0.2727272727272727,0.5,2.0,19.0,Monaco
GAS,73.226,1.1749999999999972,9,0.0,0.36363636363636365,0.8181818181818182,0.4318181818181818,0.047619047619047616,-11.0,3.0,Monaco
LAW,73.412,1.3610000000000042,10,0.0,0.9090909090909091,0.6363636363636364,0.8636363636363636,0.05,-7.0,6.0,Monaco
ALB,73.787,1.7360000000000042,11,0.0,0.6818181818181818,0.7727272727272727,0.7727272727272727,0.1,5.0,8.0,Monaco
SAI,73.815,1.7639999999999958,12,0.0,0.8636363636363636,0.045454545454545456,0.7727272727272727,0.1111111111111111,5.0,16.0,Monaco
HUL,73.902,1.850999999999999,13,0.0,0.45454545454545453,0.3181818181818182,0.5454545454545454,0.05263157894736842,-7.0,13.0,Monaco
COL,73.995,1.9440000000000026,14,0.0,0.5,0.2727272727272727,0.4318181818181818,0.14285714285714285,1.0,14.0,Monaco
LIN,74.248,2.1970000000000027,15,0.0,0.8181818181818182,0.5454545454545454,0.8636363636363636,0.07142857142857142,3.0,7.0,Monaco
BOR,74.683,2.632000000000005,16,0.0,0.6363636363636364,0.8636363636363636,0.5454545454545454,0.08333333333333333,10.0,11.0,Monaco
OCO,74.722,2.6709999999999923,17,0.0,0.22727272727272727,0.36363636363636365,0.38636363636363635,0.07692307692307693,3.0,9.0,Monaco
PER,74.747,2.695999999999998,18,0.0,0.3181818181818182,0.7272727272727273,0.6363636363636364,0.0625,5.0,15.0,Monaco
BEA,74.814,2.762999999999991,19,0.0,0.5454545454545454,0.18181818181818182,0.38636363636363635,0.09090909090909091,0.0,20.0,Monaco
BOT,75.283,3.2319999999999993,20,0.0,0.9545454545454546,0.22727272727272727,0.6363636363636364,0.05555555555555555,2.0,21.0,Monaco
ALO,75.349,3.298000000000002,21,0.0,1.0,0.9545454545454546,0.7954545454545454,0.06666666666666667,3.0,10.0,Monaco
STR,76.061,4.010000000000005,22,0.0,0.5909090909090909,1.0,0.7954545454545454,0.058823529411764705,2.0,18.0,Monaco
