Driver,LapTime
NOR,97.765
NOR,77.011
NOR,75.559
NOR,106.824
NOR,75.274
NOR,116.865
NOR,111.177
GAS,98.014
GAS,90.871
GAS,77.994
GAS,91.657
GAS,76.171
GAS,97.987
GAS,76.748
GAS,106.556
GAS,90.608
GAS,80.248
GAS,74.941
GAS,94.206
GAS,75.947
GAS,91.186
GAS,74.497
GAS,102.502
GAS,103.136
GAS,80.375
GAS,74.846
GAS,93.419
GAS,74.646
GAS,88.818
GAS,74.886
GAS,93.082
GAS,78.613
GAS,77.684
GAS,81.71
GAS,77.926
GAS,77.297
GAS,111.801
GAS,76.764
GAS,119.88
GAS,131.091
PER,104.722
PER,78.38
PER,76.466
PER,76.433
PER,116.344
PER,92.446
PER,100.56
PER,96.0
PER,125.695
PER,103.538
PER,87.567
PER,78.13
PER,75.828
PER,94.247
PER,78.404
PER,75.116
PER,100.587
PER,80.067
PER,75.257
PER,94.571
PER,88.922
PER,108.301
PER,85.027
PER,78.275
PER,78.043
PER,79.605
PER,78.212
PER,79.076
ANT,105.331
ANT,83.316
ANT,75.673
ANT,93.707
ANT,74.208
ANT,115.035
ANT,113.236
ANT,119.313
ANT,104.005
ANT,86.963
ANT,82.912
ANT,73.85
ANT,91.618
ANT,91.494
ANT,87.334
ANT,73.752
ANT,104.576
ANT,73.554
ANT,99.765
ANT,80.538
ANT,100.025
ANT,81.124
ANT,99.844
ANT,73.529
ANT,85.098
ANT,77.131
ANT,81.028
ANT,87.389
ANT,80.054
ANT,142.189
ALO,96.218
ALO,91.847
ALO,77.673
ALO,76.928
ALO,100.971
ALO,76.741
ALO,98.94
ALO,94.367
ALO,79.443
ALO,76.346
ALO,84.496
ALO,75.986
ALO,97.175
ALO,90.765
ALO,83.048
ALO,84.419
ALO,75.457
ALO,75.294
ALO,95.479
ALO,81.073
ALO,94.456
ALO,80.309
ALO,93.408
ALO,127.506
ALO,118.198
LEC,105.47
LEC,77.024
LEC,74.24
LEC,99.705
LEC,74.192
LEC,74.175
LEC,100.874
LEC,80.829
LEC,104.745
LEC,104.078
LEC,101.083
LEC,91.106
LEC,77.937
LEC,73.613
LEC,89.038
LEC,106.482
LEC,86.693
LEC,77.955
LEC,73.137
LEC,99.904
LEC,87.446
LEC,115.635
LEC,94.67
LEC,79.443
LEC,73.19
LEC,73.166
LEC,102.713
LEC,73.212
LEC,90.519
LEC,78.015
LEC,130.867
LEC,123.002
STR,104.691
STR,82.444
STR,77.875
STR,91.473
STR,77.734
STR,81.865
STR,76.857
STR,103.088
STR,149.838
STR,99.037
STR,84.888
STR,78.666
STR,77.048
STR,77.178
STR,94.202
STR,83.089
STR,76.776
STR,76.244
STR,91.846
STR,76.174
STR,84.599
STR,76.352
STR,76.283
STR,89.618
STR,77.424
ALB,100.84
ALB,85.26
ALB,85.104
ALB,78.165
ALB,76.688
ALB,91.003
ALB,76.222
ALB,90.739
ALB,99.725
ALB,104.059
ALB,106.647
ALB,81.077
ALB,81.785
ALB,75.483
ALB,84.07
ALB,75.345
ALB,111.273
ALB,88.557
ALB,81.176
ALB,88.325
ALB,82.133
ALB,75.219
ALB,92.007
ALB,74.6
ALB,94.903
ALB,85.454
ALB,92.104
ALB,86.367
ALB,94.015
ALB,79.901
ALB,78.187
ALB,78.255
ALB,90.583
ALB,77.889
ALB,135.714
ALB,121.21
HUL,95.27
HUL,81.653
HUL,86.666
HUL,76.375
HUL,87.869
HUL,80.167
HUL,79.684
HUL,93.989
HUL,75.188
HUL,90.956
HUL,77.576
HUL,74.094
HUL,96.376
HUL,80.556
HUL,98.114
HUL,74.953
HUL,94.815
HUL,87.024
HUL,88.133
HUL,78.415
HUL,79.504
HUL,76.822
