Driver,FP1_avg,FP2_avg,FP3_avg
ALB,86.84203333333333,88.89122222222221,91.93185714285714
ALO,85.88938888888889,89.06172000000001,86.99309090909091
ANT,86.21703703703704,91.25303333333333,88.98021052631579
BEA,91.07555555555555,88.14621875,86.9415625
BOR,90.20537037037037,91.01064516129033,88.03474999999999
BOT,93.81625000000001,85.681,88.72107142857143
COL,88.16793103448275,90.105,89.26642105263157
GAS,87.15172413793104,88.36687878787879,88.66636842105264
HAD,83.92975,91.04963157894737,85.73436363636364
HAM,94.7306,92.8210625,88.57166666666666
HUL,90.64083333333333,86.31546666666667,88.96773684210525
LAW,91.67022222222222,90.3794375,88.69978260869566
LEC,91.18796428571429,90.4424375,88.26131034482759
LIN,88.9418,91.28518181818183,92.84375
NOR,86.70030434782609,94.35357142857143,87.04242857142857
OCO,87.75992857142857,89.17464516129033,87.48552380952381
PER,90.95470833333333,88.77925,92.09453333333333
PIA,92.78196,90.98822222222222,92.79058823529412
RUS,90.65396000000001,88.91386206896551,89.89794736842104
SAI,86.89962962962963,90.85010000000001,88.92386956521739
STR,85.36846153846153,86.61156000000001,87.43372222222223
VER,82.7708695652174,84.56112903225807,84.95226315789473
