Driver,LapTime
ANT,100.746
ANT,94.535
ANT,74.313
ANT,94.733
ANT,85.128
ANT,73.946
ANT,94.829
ANT,73.599
ANT,99.218
ANT,100.155
ANT,78.775
ANT,72.778
ANT,99.37
ANT,72.704
ANT,106.626
ANT,85.794
ANT,79.003
ANT,72.753
ANT,91.645
ANT,82.602
ANT,72.375
ANT,96.321
ANT,77.171
ANT,72.051
VER,84.253
VER,81.878
VER,74.504
VER,83.759
VER,74.007
VER,94.959
VER,73.49
VER,92.757
VER,84.53
VER,73.205
VER,91.233
VER,72.84
VER,88.142
VER,77.073
VER,72.499
VER,86.171
VER,83.423
VER,72.376
VER,84.281
VER,78.829
VER,72.094
HAM,95.99
HAM,86.83
HAM,74.342
HAM,105.748
HAM,99.881
HAM,73.804
HAM,92.524
HAM,96.716
HAM,73.777
HAM,92.496
HAM,79.235
HAM,73.091
HAM,145.895
HAM,94.817
HAM,117.75
HAM,98.951
HAM,81.849
HAM,72.934
HAM,98.33
HAM,80.112
HAM,72.553
HAM,92.028
HAM,86.182
HAM,72.279
LEC,101.44
LEC,78.695
LEC,74.141
LEC,92.462
LEC,73.399
LEC,101.686
LEC,78.249
LEC,73.293
LEC,106.345
LEC,96.215
LEC,78.818
LEC,72.928
LEC,97.17
LEC,83.358
LEC,72.774
LEC,119.813
LEC,100.976
LEC,88.293
LEC,73.3
LEC,92.591
LEC,76.662
LEC,82.343
LEC,76.924
LEC,72.351
LEC,98.521
HAD,95.174
HAD,100.055
HAD,93.458
HAD,75.007
HAD,74.617
HAD,101.327
HAD,74.408
HAD,88.433
HAD,83.267
HAD,73.162
HAD,92.767
HAD,81.046
HAD,72.722
HAD,92.614
HAD,78.699
HAD,72.885
HAD,88.075
HAD,80.982
HAD,72.434
RUS,95.179
RUS,93.532
RUS,75.732
RUS,99.599
RUS,93.562
RUS,74.857
RUS,107.955
RUS,74.214
RUS,104.167
RUS,86.47
RUS,89.382
RUS,73.723
RUS,102.685
RUS,73.321
RUS,102.637
RUS,82.173
RUS,81.611
RUS,73.238
RUS,87.513
RUS,87.267
RUS,72.826
RUS,85.778
RUS,77.541
RUS,72.445
PIA,101.837
PIA,85.838
PIA,74.818
PIA,85.269
PIA,74.159
PIA,102.781
PIA,104.773
PIA,74.189
PIA,97.994
PIA,93.907
PIA,81.448
PIA,73.072
PIA,126.74
PIA,91.545
PIA,78.948
PIA,73.01
PIA,100.286
PIA,72.983
PIA,88.354
PIA,79.182
PIA,72.916
PIA,91.545
PIA,83.86
PIA,72.624
NOR,93.926
NOR,85.901
NOR,74.295
NOR,89.957
NOR,73.796
NOR,87.586
NOR,83.988
NOR,73.63
NOR,89.297
NOR,86.784
NOR,90.791
NOR,80.771
NOR,72.919
NOR,89.079
NOR,72.976
NOR,106.113
NOR,85.648
NOR,79.582
NOR,73.263
NOR,87.216
NOR,78.35
NOR,72.765
NOR,83.637
NOR,86.866
GAS,99.694
GAS,84.352
GAS,78.598
GAS,75.725
GAS,111.876
GAS,98.421
GAS,90.65
GAS,75.639
GAS,90.951
GAS,74.469
GAS,95.466
GAS,90.698
GAS,80.22
GAS,87.323
GAS,74.151
GAS,90.721
GAS,78.901
GAS,73.762
GAS,107.976
GAS,74.224
GAS,97.156
GAS,79.065
GAS,74.012
GAS,85.176
GAS,81.233
GAS,73.226
LAW,99.452
LAW,86.586
LAW,75.477
LAW,87.729
LAW,81.332
LAW,110.11
LAW,93.465
LAW,87.938
LAW,74.498
LAW,95.897
LAW,101.094
LAW,81.26
LAW,74.097
LAW,92.974
LAW,73.827
LAW,116.103
LAW,89.505
LAW,80.805
LAW,73.471
LAW,97.192
LAW,79.722
LAW,73.79
LAW,92.712
LAW,81.582
LAW,73.412
ALB,99.054
ALB,84.791
ALB,76.332
ALB,76.662
ALB,106.124
ALB,75.612
ALB,105.763
ALB,92.102
ALB,86.044
ALB,74.321
ALB,97.564
ALB,75.276
ALB,94.417
ALB,84.54
ALB,74.287
ALB,95.411
ALB,74.136
ALB,88.58
ALB,83.351
ALB,73.787
SAI,98.984
SAI,87.862
SAI,77.324
SAI,74.974
SAI,99.792
SAI,78.871
SAI,138.275
SAI,87.494
SAI,84.267
SAI,97.641
SAI,74.348
SAI,96.584
SAI,82.623
SAI,73.936
SAI,96.02
SAI,74.123
SAI,91.124
SAI,82.144
SAI,73.815
HUL,101.262
HUL,83.542
HUL,77.095
HUL,74.741
HUL,105.785
HUL,75.377
HUL,110.557
HUL,90.356
HUL,81.001
HUL,73.923
HUL,94.493
HUL,81.735
HUL,73.949
HUL,99.141
HUL,73.902
HUL,137.664
HUL,84.952
HUL,85.682
HUL,74.091
COL,100.278
COL,83.522
COL,77.056
COL,75.799
COL,89.974
COL,84.571
COL,75.186
COL,97.652
COL,74.573
COL,102.348
COL,94.409
COL,83.659
COL,77.596
COL,74.53
COL,89.651
COL,80.005
COL,73.995
COL,96.351
COL,74.102
LIN,99.676
LIN,85.133
LIN,76.126
LIN,94.959
LIN,75.428
LIN,97.043
LIN,96.89
LIN,81.825
LIN,74.685
LIN,96.33
LIN,95.9
LIN,82.153
LIN,74.248
LIN,93.698
LIN,74.355
LIN,123.743
LIN,97.078
LIN,86.695
LIN,87.803
LIN,74.363
BOR,97.275
BOR,90.988
BOR,77.405
BOR,74.683
BOR,98.214
BOR,75.11
BOR,115.65
BOR,93.591
BOR,95.069
OCO,100.338
OCO,82.801
OCO,76.619
OCO,75.343
OCO,100.704
OCO,75.043
OCO,102.664
OCO,94.655
OCO,81.099
OCO,74.722
OCO,93.652
OCO,74.969
PER,80.242
PER,76.743
PER,90.897
PER,76.056
PER,86.984
PER,77.246
PER,74.747
BEA,99.025
BEA,83.308
BEA,75.936
BEA,87.724
BEA,75.346
BEA,90.863
BEA,74.905
BEA,107.602
BEA,92.827
BEA,81.759
BEA,94.122
BEA,74.814
BOT,95.853
BOT,81.756
BOT,77.175
BOT,92.709
BOT,76.372
BOT,94.657
BOT,98.412
BOT,75.292
BOT,89.532
BOT,75.283
ALO,92.384
ALO,92.327
ALO,76.073
ALO,89.188
ALO,76.03
ALO,110.372
ALO,93.423
ALO,83.489
ALO,75.349
ALO,96.168
ALO,95.002
STR,94.511
STR,91.95
STR,76.965
STR,89.691
STR,76.061
STR,108.643
STR,91.565
STR,85.751
STR,77.435
